;PW + Busse/Car;;;;;;;;;;LW;;;;;;;;;;Gesamtergebnis;;;;;;;;;
Datum;UMF. BERN OST;SAN BERNARDINO;BASEL; CHIASSO;SIMPLON;GOTTHARDTUNNEL;COPPET;WUERENLOS;RENENS;AESCHERTUNNEL;UMF. BERN OST;SAN BERNARDINO;BASEL; CHIASSO;SIMPLON;GOTTHARDTUNNEL;COPPET;WUERENLOS;RENENS;AESCHERTUNNEL;UMF. BERN OST;SAN BERNARDINO;BASEL; CHIASSO;SIMPLON;GOTTHARDTUNNEL;COPPET;WUERENLOS;RENENS;AESCHERTUNNEL
2005;71861.1497;6010.021224;NA;NA;2293.466898;13975.86756;NA;NA;NA;NA;2848.628065;455.319412;NA;NA;206.5853846;2697.770938;NA;NA;NA;NA;74709.28889;6459.667071;71477.8767;NA;2500.052283;16673.6385;NA;NA;NA;NA
2005.020833;68261.48137;6205.547263;NA;NA;2221.683695;15142.05637;NA;NA;NA;NA;2349.940658;392.6786488;NA;NA;190.01586;2414.108045;NA;NA;NA;NA;70610.81402;6592.297573;70091.78184;NA;2411.699555;17556.16442;NA;NA;NA;NA
2005.041667;65522.09447;5613.418965;NA;NA;1891.112145;14110.6841;NA;NA;NA;NA;2417.76686;440.3367022;NA;NA;178.6274745;2485.229048;NA;NA;NA;NA;67939.1342;6047.572555;70220.76562;NA;2069.739619;16595.91315;NA;NA;NA;NA
2005.0625;60379.41217;5698.595495;NA;NA;1896.378277;14042.88499;NA;NA;NA;NA;2031.032136;385.0206027;NA;NA;166.5759026;2289.125313;NA;NA;NA;NA;62409.59804;6077.178212;67648.59528;NA;2062.954179;16332.0103;NA;NA;NA;NA
2005.083333;67007.08785;5738.83563;NA;NA;1984.051191;14069.47367;65848.64975;NA;NA;NA;2445.661326;442.74824;NA;NA;183.7810616;2583.011194;1963.701;NA;NA;NA;69451.78943;6174.741264;70789.65714;NA;2167.832252;16652.48486;70415.08875;NA;NA;NA
2005.104167;65104.84312;5826.336629;NA;NA;2003.092239;14602.17585;64348.20817;NA;NA;NA;2482.722039;381.8511823;NA;NA;203.3603396;2612.485032;1956.622186;NA;NA;NA;67586.49192;6200.940484;69333.76088;NA;2206.452578;17214.66089;69108.90506;NA;NA;NA
2005.125;63174.28495;5346.612673;NA;NA;1849.776869;13119.61962;61998.55852;NA;NA;NA;2393.114812;422.2764068;NA;NA;170.1364401;2540.885775;1895.156714;NA;NA;NA;65566.21304;5761.236795;67366.31551;NA;2019.91331;15660.50539;66051.07439;NA;NA;NA
2005.145833;64293.0558;5463.970587;NA;NA;1995.130214;13066.8581;64963.4187;NA;NA;NA;2283.971449;408.5435762;NA;NA;159.2853414;2406.789362;1855.667865;NA;NA;NA;66575.78207;5864.61972;69285.27579;NA;2154.415556;15473.64746;68073.92449;NA;NA;NA
2005.166667;66098.65836;5184.826392;NA;NA;2028.729456;12737.26051;67642.33612;NA;NA;NA;2344.463363;396.8102829;NA;NA;163.7598362;2482.456145;1821.467414;NA;NA;NA;68441.81808;5573.500074;69883.01862;NA;2192.489292;15219.71665;69609.26313;NA;NA;NA
