;PW + Busse/Car;;;;;;;;;;LW;;;;;;;;;;Gesamtergebnis;;;;;;;;;
Datum;UMF..BERN.OST;SAN.BERNARDINO;BASEL;CHIASSO;SIMPLON;GOTTHARDTUNNEL;COPPET;WUERENLOS;RENENS;AESCHERTUNNEL;UMF..BERN.OST;SAN.BERNARDINO;BASEL;CHIASSO;SIMPLON;GOTTHARDTUNNEL;COPPET;WUERENLOS;RENENS;AESCHERTUNNEL;UMF..BERN.OST;SAN.BERNARDINO;BASEL;CHIASSO;SIMPLON;GOTTHARDTUNNEL;COPPET;WUERENLOS;RENENS;AESCHERTUNNEL
01.01.2005;47431;4140;NA;NA;1777;9652;NA;NA;NA;NA;89;17;NA;NA;10;36;NA;NA;NA;NA;47520;4157;43169;NA;1787;9688;NA;NA;NA;NA
02.01.2005;48990;7876;NA;NA;2830;18903;NA;NA;NA;NA;158;25;NA;NA;13;91;NA;NA;NA;NA;49148;7901;62048;NA;2843;18994;NA;NA;NA;NA
03.01.2005;56571;3840;NA;NA;1738;10783;NA;NA;NA;NA;1869;204;NA;NA;99;1898;NA;NA;NA;NA;58440;4044;67086;NA;1837;12681;NA;NA;NA;NA
04.01.2005;63559;4010;NA;NA;1562;9582;NA;NA;NA;NA;2110;270;NA;NA;125;2387;NA;NA;NA;NA;65669;4280;68059;NA;1687;11969;NA;NA;NA;NA
05.01.2005;65312;4428;NA;NA;1704;9006;NA;NA;NA;NA;2221;256;NA;NA;109;2206;NA;NA;NA;NA;67533;4684;72152;NA;1813;11212;NA;NA;NA;NA
06.01.2005;64100;5278;NA;NA;1895;9803;NA;NA;NA;NA;2269;107;NA;NA;94;873;NA;NA;NA;NA;66369;5385;69051;NA;1989;10676;NA;NA;NA;NA
07.01.2005;72746;5001;NA;NA;1819;10211;NA;NA;NA;NA;2168;201;NA;NA;77;1608;NA;NA;NA;NA;74914;5202;73785;NA;1896;11819;NA;NA;NA;NA
08.01.2005;65712;5748;NA;NA;2474;13097;NA;NA;NA;NA;531;77;NA;NA;37;1058;NA;NA;NA;NA;66243;5825;69370;NA;2511;14155;NA;NA;NA;NA
09.01.2005;51076;5301;NA;NA;2435;13157;NA;NA;NA;NA;143;36;NA;NA;15;92;NA;NA;NA;NA;51219;5337;48991;NA;2450;13249;NA;NA;NA;NA
10.01.2005;63566;2196;NA;NA;908;6765;NA;NA;NA;NA;2698;439;NA;NA;199;2780;NA;NA;NA;NA;66264;2635;68143;NA;1107;9545;NA;NA;NA;NA
11.01.2005;65040;2129;NA;NA;875;6223;NA;NA;NA;NA;2750;467;NA;NA;199;3417;NA;NA;NA;NA;67790;2596;68464;NA;1074;9640;NA;NA;NA;NA
