Name;SW GDP (SA WDA) CONA
Q1 1980;89780.29
Q2 1980;90041.59
Q3 1980;90640.99
Q4 1980;91041.38
Q1 1981;91255.57
Q2 1981;91902.94
Q3 1981;92162.74
Q4 1981;91974.05
Q1 1982;91693.79
Q2 1982;90616.47
Q3 1982;90163.28
Q4 1982;90040.19
Q1 1983;90197.59
Q2 1983;91023.56
Q3 1983;91414.74
Q4 1983;92063.42
Q1 1984;92604.31
Q2 1984;93200.86
Q3 1984;94604.56
Q4 1984;95591
Q1 1985;96306.02
Q2 1985;97184.16
Q3 1985;97645.99
Q4 1985;98588.3
Q1 1986;98605.43
Q2 1986;99378.02
Q3 1986;99500.73
Q4 1986;99479.7
Q1 1987;99505.48
Q2 1987;100304.51
Q3 1987;101252.86
Q4 1987;102182.48
Q1 1988;102620.34
Q2 1988;103405.42
Q3 1988;104555.2
Q4 1988;106016.04
Q1 1989;106483.81
Q2 1989;108220.96
Q3 1989;109367.07
Q4 1989;110823.1
Q1 1990;112531.17
Q2 1990;112861.21
Q3 1990;112580.23
Q4 1990;112430.09
Q1 1991;112070.71
Q2 1991;111483.66
Q3 1991;111530.48
Q4 1991;111644.52
Q1 1992;112324.29
Q2 1992;112045.13
Q3 1992;111200.72
Q4 1992;110410.6
Q1 1993;110458.93
Q2 1993;111313.52
Q3 1993;111559.49
Q4 1993;112095.1
Q1 1994;112617.82
Q2 1994;112258.08
Q3 1994;113033.12
Q4 1994;113414.8
Q1 1995;112770.84
Q2 1995;113074.82
Q3 1995;113878.83
Q4 1995;114007.36
Q1 1996;114285.03
Q2 1996;113962.21
Q3 1996;113647.98
Q4 1996;114258.04
Q1 1997;115111.63
Q2 1997;115936.25
Q3 1997;117322.2
Q4 1997;118401.24
Q1 1998;119201.81
Q2 1998;120627.55
Q3 1998;120516.92
Q4 1998;120111.02
Q1 1999;120179
Q2 1999;121259.59
Q3 1999;122039.05
Q4 1999;124928.98
Q1 2000;125858.72
Q2 2000;126412.4
Q3 2000;127381.36
Q4 2000;128634.9
Q1 2001;128666.94
Q2 2001;129011.82
Q3 2001;128610.4
Q4 2001;128541.95
Q1 2002;128882.11
Q2 2002;128981.7
Q3 2002;129201.75
Q4 2002;128700.11
Q1 2003;127802.11
Q2 2003;128105.52
Q3 2003;129338.77
Q4 2003;130911.73
Q1 2004;131791.97
Q2 2004;132330.18
Q3 2004;132688.1
Q4 2004;132891.15
Q1 2005;134490.68
Q2 2005;135997.37
Q3 2005;137355.25
Q4 2005;138596
Q1 2006;140123.78
Q2 2006;141347.22
Q3 2006;142499.76
Q4 2006;144739.89
Q1 2007;145981.17
Q2 2007;147575.6
Q3 2007;148782.83
Q4 2007;149719.28
Q1 2008;151044.25
Q2 2008;152028.39
Q3 2008;152204.53
Q4 2008;149287.53
Q1 2009;146949.83
Q2 2009;146962.58
Q3 2009;148402.74
Q4 2009;148779.18
Q1 2010;150332.1
Q2 2010;151762.34
Q3 2010;152450.25
Q4 2010;153541.4
Q1 2011;154244.25
Q2 2011;155020.07
Q3 2011;154502.05
Q4 2011;155464.27
Q1 2012;155611.52
Q2 2012;155967.47
Q3 2012;156771.03
Q4 2012;157110.62
Q1 2013;157759.57
Q2 2013;158964.23
Q3 2013;160087.3
Q4 2013;160400.56
Q1 2014;161545.35
Q2 2014;162542.87
Q3 2014;163790.8
Q4 2014;165153.83
Q1 2015;164663.71
Q2 2015;164646.94
Q3 2015;165686.1
Q4 2015;166302.05
Q1 2016;166886.57
Q2 2016;167728.1
Q3 2016;168689.73
Q4 2016;169315.64
Q1 2017;169452.12
Q2 2017;170551.77
Q3 2017;171692.46
Q4 2017;173467.29
Q1 2018;175205.64
Q2 2018;176682.71
Q3 2018;176095.85
Q4 2018;175982.93
Q1 2019;176649.71
Q2 2019;177284.06
Q3 2019;178064.32
Q4 2019;178665.66
Q1 2020;174007.83
