time,value,n
2006-01-01,0,1
2006-01-08,0,1
2006-01-15,0,1
2006-01-22,56,1
2006-01-29,56,1
2006-02-05,0,1
2006-02-12,55,1
2006-02-19,57,1
2006-02-26,56,1
2006-03-05,0,1
2006-03-12,54,1
2006-03-19,27,2
2006-03-26,49,2
2006-04-02,49.5,2
2006-04-09,0,2
2006-04-16,0,2
2006-04-23,27,2
2006-04-30,0,2
2006-05-07,26,2
2006-05-14,45.5,2
2006-05-21,0,2
2006-05-28,55.5,2
2006-06-04,0,3
2006-06-11,48.666666666666664,3
2006-06-18,32.333333333333336,3
2006-06-25,55,3
2006-07-02,0,3
2006-07-09,0,3
2006-07-16,31.666666666666668,3
2006-07-23,31.666666666666668,3
2006-07-30,51.333333333333336,3
2006-08-06,26.666666666666668,3
2006-08-13,17,3
2006-08-20,40.25,4
2006-08-27,0,4
2006-09-03,19.25,4
2006-09-10,21.25,4
2006-09-17,46.25,4
2006-09-24,60.75,4
2006-10-01,47.75,4
2006-10-08,56.75,4
2006-10-15,9.25,4
2006-10-22,58.75,4
2006-10-29,24,4
2006-11-05,8.8,5
2006-11-12,6.8,5
2006-11-19,15.6,5
2006-11-26,48.8,5
2006-12-03,24.2,5
2006-12-10,43,5
2006-12-17,39.8,5
2006-12-24,33.8,5
2006-12-31,48.6,5
2007-01-07,37,5
2007-01-14,21.6,5
2007-01-21,26.666666666666668,6
2007-01-28,29.166666666666668,6
2007-02-04,35.333333333333336,6
2007-02-11,21.666666666666668,6
2007-02-18,47.666666666666664,6
2007-02-25,16,6
2007-03-04,0,6
2007-03-11,16.833333333333332,6
2007-03-18,26.833333333333332,6
2007-03-25,42.666666666666664,6
2007-04-01,0,6
2007-04-08,58.285714285714285,7
2007-04-15,28.142857142857142,7
2007-04-22,29.285714285714285,7
2007-04-29,32.142857142857146,7
2007-05-06,30.142857142857142,7
2007-05-13,17,7
2007-05-20,8,7
2007-05-27,28.714285714285715,7
2007-06-03,36.57142857142857,7
2007-06-10,36.285714285714285,7
2007-06-17,18.142857142857142,7
2007-06-24,28.25,8
2007-07-01,44,8
2007-07-08,14.625,8
2007-07-15,35.625,8
2007-07-22,50.75,8
2007-07-29,13,8
2007-08-05,29.25,8
2007-08-12,33,8
2007-08-19,17.875,8
2007-08-26,27.625,8
2007-09-02,41.625,8
2007-09-09,38.22222222222222,9
2007-09-16,22.666666666666668,9
2007-09-23,9.777777777777779,9
2007-09-30,14.777777777777779,9
2007-10-07,12.88888888888889,9
2007-10-14,17.77777777777778,9
2007-10-21,33,9
2007-10-28,13.444444444444445,9
2007-11-04,13.88888888888889,9
2007-11-11,17.88888888888889,9
2007-11-18,31.88888888888889,9
2007-11-25,24.5,10
2007-12-02,35.1,10
2007-12-09,26.2,10
2007-12-16,30.9,10
