time,value,n
2006-01-01,35,1
2006-02-01,49.5,2
2006-03-01,55.333333333333336,3
2006-04-01,43,4
2006-05-01,41.2,5
2006-06-01,32.166666666666664,6
2006-07-01,48,7
2006-08-01,46.875,8
2006-09-01,31.333333333333332,9
2006-10-01,39.1,10
2006-11-01,44.72727272727273,11
2006-12-01,26.583333333333332,12
2007-01-01,31.416666666666668,12
2007-02-01,34.916666666666664,12
2007-03-01,36.583333333333336,12
2007-04-01,26.25,12
2007-05-01,29.166666666666668,12
2007-06-01,30.333333333333332,12
2007-07-01,20,12
2007-08-01,19.916666666666668,12
2007-09-01,23.75,12
2007-10-01,23.5,12
2007-11-01,24.833333333333332,12
2007-12-01,38.583333333333336,12
2008-01-01,38.083333333333336,12
2008-02-01,37.333333333333336,12
2008-03-01,17.416666666666668,12
2008-04-01,20.75,12
2008-05-01,34.166666666666664,12
2008-06-01,31.416666666666668,12
2008-07-01,29.333333333333332,12
2008-08-01,23.583333333333332,12
2008-09-01,31,12
2008-10-01,32.083333333333336,12
2008-11-01,27.833333333333332,12
2008-12-01,31.75,12
2009-01-01,41.666666666666664,12
2009-02-01,42.333333333333336,12
2009-03-01,38.75,12
2009-04-01,41.5,12
2009-05-01,40.75,12
2009-06-01,47.833333333333336,12
2009-07-01,48.833333333333336,12
2009-08-01,36.5,12
2009-09-01,45.583333333333336,12
2009-10-01,32.25,12
2009-11-01,48.083333333333336,12
2009-12-01,49,12
2010-01-01,44.75,12
2010-02-01,40.583333333333336,12
2010-03-01,54.666666666666664,12
2010-04-01,40.5,12
2010-05-01,45.166666666666664,12
2010-06-01,36.583333333333336,12
2010-07-01,45.5,12
2010-08-01,61,12
2010-09-01,100,12
2010-10-01,53.75,12
2010-11-01,57,12
2010-12-01,45.25,12
2011-01-01,49.666666666666664,12
2011-02-01,36.416666666666664,12
2011-03-01,42.25,12
2011-04-01,38.916666666666664,12
2011-05-01,34.583333333333336,12
2011-06-01,26.166666666666668,12
2011-07-01,21.583333333333332,12
2011-08-01,31.666666666666668,12
2011-09-01,32.916666666666664,12
2011-10-01,27.5,12
2011-11-01,33.833333333333336,12
2011-12-01,20.166666666666668,12
2012-01-01,30.583333333333332,12
2012-02-01,27.25,12
2012-03-01,21.75,12
2012-04-01,28.416666666666668,12
2012-05-01,22.166666666666668,12
2012-06-01,22.416666666666668,12
2012-07-01,20.583333333333332,12
2012-08-01,25,12
2012-09-01,27.75,12
2012-10-01,26.416666666666668,12
2012-11-01,29.833333333333332,12
2012-12-01,23.666666666666668,12
2013-01-01,25.916666666666668,12
2013-02-01,28.166666666666668,12
2013-03-01,22,12
2013-04-01,22.25,12
2013-05-01,23.833333333333332,12
2013-06-01,22.666666666666668,12
2013-07-01,26.916666666666668,12
2013-08-01,20.5,12
2013-09-01,23.166666666666668,12
2013-10-01,23.083333333333332,12
2013-11-01,23.333333333333332,12
2013-12-01,22,12
2014-01-01,27.666666666666668,12
2014-02-01,29.166666666666668,12
2014-03-01,24.666666666666668,12
2014-04-01,18.25,12
2014-05-01,23.166666666666668,12
2014-06-01,26.5,12
2014-07-01,16.166666666666668,12
2014-08-01,19.666666666666668,12
2014-09-01,24,12
2014-10-01,14.333333333333334,12
2014-11-01,21.583333333333332,12
2014-12-01,23.833333333333332,12
2015-01-01,20.916666666666668,12
2015-02-01,26.083333333333332,12
2015-03-01,27.833333333333332,12
2015-04-01,18.416666666666668,12
2015-05-01,19.916666666666668,12
2015-06-01,18.833333333333332,12
2015-07-01,18.416666666666668,12
2015-08-01,17.166666666666668,12
2015-09-01,26.75,12
2015-10-01,22.416666666666668,12
2015-11-01,23.916666666666668,12
2015-12-01,23.416666666666668,12
2016-01-01,22.583333333333332,12
2016-02-01,20.083333333333332,12
2016-03-01,19.25,12
2016-04-01,22.5,12
2016-05-01,17.333333333333332,12
2016-06-01,14.916666666666666,12
2016-07-01,14.083333333333334,12
2016-08-01,15.583333333333334,12
2016-09-01,17.583333333333332,12
2016-10-01,16.75,12
2016-11-01,18.166666666666668,12
2016-12-01,17.916666666666668,12
2017-01-01,23.25,12
2017-02-01,20.75,12
2017-03-01,15.083333333333334,12
2017-04-01,11.916666666666666,12
2017-05-01,17.166666666666668,12
2017-06-01,17.083333333333332,12
2017-07-01,16.916666666666668,12
2017-08-01,14.416666666666666,12
2017-09-01,14.166666666666666,12
2017-10-01,19.166666666666668,12
2017-11-01,16,12
2017-12-01,16.5,12
2018-01-01,18.666666666666668,12
2018-02-01,14.666666666666666,12
2018-03-01,16.416666666666668,12
2018-04-01,17.666666666666668,12
2018-05-01,14.75,12
2018-06-01,16.166666666666668,12
2018-07-01,16.583333333333332,12
2018-08-01,12.416666666666666,12
2018-09-01,17.333333333333332,12
2018-10-01,17.666666666666668,12
2018-11-01,14.25,12
2018-12-01,14.25,12
2019-01-01,19.666666666666668,12
2019-02-01,16.25,12
2019-03-01,15.5,12
2019-04-01,17.083333333333332,12
2019-05-01,18.416666666666668,12
2019-06-01,15.333333333333334,12
2019-07-01,15.75,12
2019-08-01,19.666666666666668,12
2019-09-01,15.25,12
2019-10-01,14.583333333333334,12
2019-11-01,16.083333333333332,12
2019-12-01,17.833333333333332,12
2020-01-01,16.25,12
2020-02-01,18,12
2020-03-01,66.5,12
2020-04-01,42.5,12
2020-05-01,32.583333333333336,12
2020-06-01,27.083333333333332,12
