time,value,n
2006-01-01,77,1
2006-02-01,63.5,2
2006-03-01,89,3
2006-04-01,72.75,4
2006-05-01,64.6,5
2006-06-01,77.83333333333333,6
2006-07-01,43.714285714285715,7
2006-08-01,43.25,8
2006-09-01,50.111111111111114,9
2006-10-01,57.1,10
2006-11-01,44.81818181818182,11
2006-12-01,43.416666666666664,12
2007-01-01,52.75,12
2007-02-01,56.25,12
2007-03-01,46.833333333333336,12
2007-04-01,49.083333333333336,12
2007-05-01,67.16666666666667,12
2007-06-01,66.33333333333333,12
2007-07-01,40.333333333333336,12
2007-08-01,56,12
2007-09-01,55.333333333333336,12
2007-10-01,52.333333333333336,12
2007-11-01,43.75,12
2007-12-01,31.5,12
2008-01-01,54.833333333333336,12
2008-02-01,41.25,12
2008-03-01,57.75,12
2008-04-01,44.666666666666664,12
2008-05-01,50.083333333333336,12
2008-06-01,50.5,12
2008-07-01,31.666666666666668,12
2008-08-01,42.333333333333336,12
2008-09-01,49,12
2008-10-01,38.833333333333336,12
2008-11-01,47.75,12
2008-12-01,53.583333333333336,12
2009-01-01,67.25,12
2009-02-01,38,12
2009-03-01,70.16666666666667,12
2009-04-01,62.583333333333336,12
2009-05-01,58.25,12
2009-06-01,56.75,12
2009-07-01,46.25,12
2009-08-01,57.166666666666664,12
2009-09-01,52.916666666666664,12
2009-10-01,66.08333333333333,12
2009-11-01,67.83333333333333,12
2009-12-01,67.83333333333333,12
2010-01-01,68.16666666666667,12
2010-02-01,69.08333333333333,12
2010-03-01,85.41666666666667,12
2010-04-01,47.083333333333336,12
2010-05-01,53.166666666666664,12
2010-06-01,58.416666666666664,12
2010-07-01,45.833333333333336,12
2010-08-01,38,12
2010-09-01,49,12
2010-10-01,40.083333333333336,12
2010-11-01,53.666666666666664,12
2010-12-01,41.083333333333336,12
2011-01-01,50.083333333333336,12
2011-02-01,43.333333333333336,12
2011-03-01,48.666666666666664,12
2011-04-01,49.25,12
2011-05-01,49.5,12
2011-06-01,44.166666666666664,12
2011-07-01,36.916666666666664,12
2011-08-01,42,12
2011-09-01,39.166666666666664,12
2011-10-01,40.833333333333336,12
2011-11-01,53.666666666666664,12
2011-12-01,53.083333333333336,12
2012-01-01,44.666666666666664,12
2012-02-01,45.916666666666664,12
2012-03-01,48.833333333333336,12
2012-04-01,49.333333333333336,12
2012-05-01,64.91666666666667,12
2012-06-01,48.166666666666664,12
2012-07-01,39,12
2012-08-01,36.333333333333336,12
2012-09-01,41.583333333333336,12
2012-10-01,56.333333333333336,12
2012-11-01,50.5,12
2012-12-01,35.166666666666664,12
2013-01-01,49.333333333333336,12
2013-02-01,44.916666666666664,12
2013-03-01,48.916666666666664,12
2013-04-01,44.666666666666664,12
2013-05-01,57.25,12
2013-06-01,54.75,12
2013-07-01,45.583333333333336,12
2013-08-01,41.666666666666664,12
2013-09-01,49.583333333333336,12
2013-10-01,51.333333333333336,12
2013-11-01,43.166666666666664,12
2013-12-01,50.083333333333336,12
2014-01-01,57.583333333333336,12
2014-02-01,47.833333333333336,12
2014-03-01,38.333333333333336,12
2014-04-01,46.166666666666664,12
2014-05-01,45.666666666666664,12
2014-06-01,48.166666666666664,12
2014-07-01,30.416666666666668,12
2014-08-01,34.916666666666664,12
2014-09-01,45.25,12
2014-10-01,37.166666666666664,12
2014-11-01,48.5,12
2014-12-01,51.083333333333336,12
2015-01-01,39.833333333333336,12
2015-02-01,40.333333333333336,12
2015-03-01,64.25,12
2015-04-01,44.75,12
2015-05-01,50.666666666666664,12
2015-06-01,52.75,12
2015-07-01,44.666666666666664,12
2015-08-01,30.75,12
2015-09-01,55.666666666666664,12
2015-10-01,52.416666666666664,12
2015-11-01,68.16666666666667,12
2015-12-01,45.75,12
2016-01-01,46.083333333333336,12
2016-02-01,52.333333333333336,12
2016-03-01,47.75,12
2016-04-01,48.25,12
2016-05-01,56.583333333333336,12
2016-06-01,44.916666666666664,12
2016-07-01,28.25,12
2016-08-01,41.583333333333336,12
2016-09-01,45.333333333333336,12
2016-10-01,42.166666666666664,12
2016-11-01,49.5,12
2016-12-01,37.416666666666664,12
2017-01-01,42.75,12
2017-02-01,46.166666666666664,12
2017-03-01,50.75,12
2017-04-01,53.083333333333336,12
2017-05-01,48.333333333333336,12
2017-06-01,43.666666666666664,12
2017-07-01,29.583333333333332,12
2017-08-01,30,12
2017-09-01,45.916666666666664,12
2017-10-01,45.833333333333336,12
2017-11-01,46.666666666666664,12
2017-12-01,42.333333333333336,12
2018-01-01,36.5,12
2018-02-01,31.583333333333332,12
2018-03-01,53.333333333333336,12
2018-04-01,35.666666666666664,12
2018-05-01,43.25,12
2018-06-01,37.75,12
2018-07-01,31.583333333333332,12
2018-08-01,39,12
2018-09-01,40.833333333333336,12
2018-10-01,33.333333333333336,12
2018-11-01,46.5,12
2018-12-01,36.916666666666664,12
2019-01-01,39.916666666666664,12
2019-02-01,38.583333333333336,12
2019-03-01,42.416666666666664,12
2019-04-01,38.333333333333336,12
2019-05-01,44.583333333333336,12
2019-06-01,43.25,12
2019-07-01,19.5,12
2019-08-01,27.083333333333332,12
2019-09-01,43,12
2019-10-01,38.75,12
2019-11-01,39.166666666666664,12
2019-12-01,27.25,12
2020-01-01,44.416666666666664,12
2020-02-01,31.083333333333332,12
2020-03-01,52.583333333333336,12
2020-04-01,66.16666666666667,12
2020-05-01,62.25,12
2020-06-01,54.666666666666664,12
