time,value,n
2006-01-01,0,1
2006-01-08,95,1
2006-01-15,56,1
2006-01-22,37,1
2006-01-29,37,1
2006-02-05,74,1
2006-02-12,74,1
2006-02-19,76,1
2006-02-26,0,1
2006-03-05,37,1
2006-03-12,91,1
2006-03-19,76,2
2006-03-26,71.5,2
2006-04-02,36,2
2006-04-09,0,2
2006-04-16,80,2
2006-04-23,52.5,2
2006-04-30,54.5,2
2006-05-07,85,2
2006-05-14,48,2
2006-05-21,38,2
2006-05-28,51,2
2006-06-04,37.666666666666664,3
2006-06-11,31.333333333333332,3
2006-06-18,45.666666666666664,3
2006-06-25,46.666666666666664,3
2006-07-02,33.333333333333336,3
2006-07-09,25.333333333333332,3
2006-07-16,13,3
2006-07-23,0,3
2006-07-30,48,3
2006-08-06,11.666666666666666,3
2006-08-13,8.666666666666666,3
2006-08-20,31.25,4
2006-08-27,49.25,4
2006-09-03,46.5,4
2006-09-10,71.75,4
2006-09-17,29.75,4
2006-09-24,22.25,4
2006-10-01,46.5,4
2006-10-08,48.5,4
2006-10-15,15.25,4
2006-10-22,48,4
2006-10-29,33.5,4
2006-11-05,13.8,5
2006-11-12,32.6,5
2006-11-19,34.8,5
2006-11-26,52.8,5
2006-12-03,14.2,5
2006-12-10,38.4,5
2006-12-17,11.8,5
2006-12-24,8,5
2006-12-31,46.8,5
2007-01-07,38,5
2007-01-14,21,5
2007-01-21,23.166666666666668,6
2007-01-28,25.666666666666668,6
2007-02-04,42.333333333333336,6
2007-02-11,11.333333333333334,6
2007-02-18,40.166666666666664,6
2007-02-25,30,6
2007-03-04,14.666666666666666,6
2007-03-11,13.166666666666666,6
2007-03-18,31.833333333333332,6
2007-03-25,30.666666666666668,6
2007-04-01,19,6
2007-04-08,49.285714285714285,7
2007-04-15,23.285714285714285,7
2007-04-22,29.857142857142858,7
2007-04-29,35.142857142857146,7
2007-05-06,46,7
2007-05-13,15.714285714285714,7
2007-05-20,37.285714285714285,7
2007-05-27,38.142857142857146,7
2007-06-03,36.285714285714285,7
2007-06-10,49.714285714285715,7
2007-06-17,65.28571428571429,7
2007-06-24,33.875,8
2007-07-01,18.875,8
2007-07-08,43.75,8
2007-07-15,21.125,8
2007-07-22,34.125,8
2007-07-29,25.25,8
2007-08-05,25.5,8
2007-08-12,30.75,8
2007-08-19,39,8
2007-08-26,43.875,8
2007-09-02,39.125,8
2007-09-09,19.11111111111111,9
2007-09-16,45.333333333333336,9
2007-09-23,24.88888888888889,9
2007-09-30,43,9
2007-10-07,35.55555555555556,9
2007-10-14,24.11111111111111,9
2007-10-21,17.77777777777778,9
2007-10-28,32.666666666666664,9
2007-11-04,31.22222222222222,9
2007-11-11,25.333333333333332,9
2007-11-18,52.111111111111114,9
2007-11-25,30.2,10
2007-12-02,42.1,10
2007-12-09,38.6,10
2007-12-16,22.7,10
2007-12-23,5.4,10
2007-12-30,31.8,10
2008-01-06,44.8,10
2008-01-13,30.5,10
2008-01-20,24,10
2008-01-27,36.9,10
2008-02-03,21.5,10
2008-02-10,33.81818181818182,11
2008-02-17,28.363636363636363,11
2008-02-24,39.81818181818182,11
2008-03-02,35.36363636363637,11
2008-03-09,44.45454545454545,11
2008-03-16,41.81818181818182,11
2008-03-23,26.181818181818183,11
2008-03-30,25.545454545454547,11
2008-04-06,24.181818181818183,11
2008-04-13,50.72727272727273,11
2008-04-20,25.454545454545453,11
2008-04-27,53.416666666666664,12
2008-05-04,28.416666666666668,12
2008-05-11,56.416666666666664,12
2008-05-18,32.25,12
2008-05-25,14.166666666666666,12
2008-06-01,36.833333333333336,12
2008-06-08,32.666666666666664,12
2008-06-15,32.083333333333336,12
2008-06-22,38.583333333333336,12
2008-06-29,21.833333333333332,12
2008-07-06,43,12
2008-07-13,7.461538461538462,13
2008-07-20,15.076923076923077,13
2008-07-27,29.46153846153846,13
2008-08-03,47.15384615384615,13
2008-08-10,31.615384615384617,13
2008-08-17,21,13
2008-08-24,26.076923076923077,13
2008-08-31,40.46153846153846,13
2008-09-07,21.307692307692307,13
2008-09-14,20.076923076923077,13
2008-09-21,37.46153846153846,13
2008-09-28,25.285714285714285,14
2008-10-05,17.428571428571427,14
2008-10-12,27.357142857142858,14
2008-10-19,32.42857142857143,14
2008-10-26,40.285714285714285,14
2008-11-02,36.142857142857146,14
2008-11-09,32.07142857142857,14
2008-11-16,16.928571428571427,14
2008-11-23,35.285714285714285,14
2008-11-30,53.07142857142857,14
2008-12-07,39.714285714285715,14
2008-12-14,39.53333333333333,15
2008-12-21,1.2,15
2008-12-28,18.133333333333333,15
2009-01-04,44.86666666666667,15
2009-01-11,53.8,15
2009-01-18,40.46666666666667,15
2009-01-25,22.2,15
2009-02-01,35.2,15
2009-02-08,27,15
2009-02-15,33.86666666666667,15
2009-02-22,30.333333333333332,15
2009-03-01,37.25,16
2009-03-08,37.25,16
2009-03-15,35.0625,16
2009-03-22,45.0625,16
2009-03-29,22.3125,16
2009-04-05,54.6875,16
2009-04-12,31.8125,16
2009-04-19,31.4375,16
2009-04-26,44.25,16
2009-05-03,46.3125,16
2009-05-10,39.9375,16
2009-05-17,34.23529411764706,17
2009-05-24,26.647058823529413,17
2009-05-31,49,17
2009-06-07,41.1764705882353,17
2009-06-14,32.8235294117647,17
2009-06-21,26.823529411764707,17
2009-06-28,46.294117647058826,17
2009-07-05,23.235294117647058,17
2009-07-12,24.176470588235293,17
2009-07-19,32.529411764705884,17
2009-07-26,34.35294117647059,17
2009-08-02,34.833333333333336,18
2009-08-09,34.111111111111114,18
2009-08-16,45.44444444444444,18
2009-08-23,19.5,18
2009-08-30,33.833333333333336,18
2009-09-06,42.77777777777778,18
2009-09-13,30.61111111111111,18
2009-09-20,31.444444444444443,18
2009-09-27,36.833333333333336,18
2009-10-04,36,18
2009-10-11,53.55555555555556,18
2009-10-18,41.1578947368421,19
2009-10-25,43.05263157894737,19
2009-11-01,46.10526315789474,19
2009-11-08,44.1578947368421,19
2009-11-15,36,19
2009-11-22,39.1578947368421,19
2009-11-29,47.63157894736842,19
2009-12-06,34.36842105263158,19
2009-12-13,33.36842105263158,19
2009-12-20,31.894736842105264,19
2009-12-27,36.94736842105263,19
2010-01-03,38.1,20
2010-01-10,52.7,20
2010-01-17,30.95,20
2010-01-24,43.75,20
2010-01-31,43.25,20
2010-02-07,32.2,20
2010-02-14,44.55,20
2010-02-21,34.35,20
2010-02-28,41.7,20
2010-03-07,39.45,20
2010-03-14,35.45,20
2010-03-21,57.57142857142857,21
2010-03-28,45.23809523809524,21
2010-04-04,40.857142857142854,21
2010-04-11,39.714285714285715,21
2010-04-18,38.80952380952381,21
2010-04-25,28,21
2010-05-02,35.904761904761905,21
2010-05-09,36.857142857142854,21
2010-05-16,42.42857142857143,21
2010-05-23,29.80952380952381,21
2010-05-30,34.142857142857146,21
2010-06-06,52.18181818181818,22
2010-06-13,34.86363636363637,22
2010-06-20,38.63636363636363,22
2010-06-27,29.863636363636363,22
2010-07-04,37.5,22
2010-07-11,22,22
2010-07-18,33.72727272727273,22
2010-07-25,25.545454545454547,22
2010-08-01,21.727272727272727,22
2010-08-08,26.636363636363637,22
2010-08-15,24.454545454545453,22
2010-08-22,38.26086956521739,23
2010-08-29,29.434782608695652,23
2010-09-05,34.391304347826086,23
2010-09-12,31.869565217391305,23
2010-09-19,30.434782608695652,23
2010-09-26,30.47826086956522,23
2010-10-03,24.217391304347824,23
2010-10-10,25.782608695652176,23
2010-10-17,25.47826086956522,23
2010-10-24,36.73913043478261,23
2010-10-31,36.65217391304348,23
2010-11-07,26.333333333333332,24
2010-11-14,27.875,24
2010-11-21,44.75,24
2010-11-28,32.958333333333336,24
2010-12-05,33.5,24
2010-12-12,28.958333333333332,24
2010-12-19,21.5,24
2010-12-26,20.541666666666668,24
2011-01-02,39.52173913043478,23
2011-01-09,53.91304347826087,23
2011-01-16,31.91304347826087,23
2011-01-23,16.25,24
2011-01-30,24.375,24
2011-02-06,32.666666666666664,24
2011-02-13,19.791666666666668,24
2011-02-20,34.666666666666664,24
2011-02-27,30.041666666666668,24
2011-03-06,39.833333333333336,24
2011-03-13,39.791666666666664,24
2011-03-20,25.391304347826086,23
2011-03-27,26.26086956521739,23
2011-04-03,32.43478260869565,23
2011-04-10,26.583333333333332,24
2011-04-17,27.75,24
2011-04-24,33.916666666666664,24
2011-05-01,29.291666666666668,24
2011-05-08,38.25,24
2011-05-15,23.916666666666668,24
2011-05-22,40.458333333333336,24
2011-05-29,29.541666666666668,24
2011-06-05,34.82608695652174,23
2011-06-12,33.391304347826086,23
