time,value,n
2006-01-01,99,1
2006-02-01,78,2
2006-03-01,74,3
2006-04-01,85.5,4
2006-05-01,68.2,5
2006-06-01,75.33333333333333,6
2006-07-01,83.42857142857143,7
2006-08-01,82.5,8
2006-09-01,65.88888888888889,9
2006-10-01,90,10
2006-11-01,65.18181818181819,11
2006-12-01,48.916666666666664,12
2007-01-01,82.5,12
2007-02-01,88.58333333333333,12
2007-03-01,69.33333333333333,12
2007-04-01,61.666666666666664,12
2007-05-01,71.41666666666667,12
2007-06-01,75.33333333333333,12
2007-07-01,73.66666666666667,12
2007-08-01,80,12
2007-09-01,57.583333333333336,12
2007-10-01,76.41666666666667,12
2007-11-01,58.75,12
2007-12-01,51.75,12
2008-01-01,67,12
2008-02-01,57.25,12
2008-03-01,59.833333333333336,12
2008-04-01,67.66666666666667,12
2008-05-01,55.083333333333336,12
2008-06-01,55.583333333333336,12
2008-07-01,57.583333333333336,12
2008-08-01,63.083333333333336,12
2008-09-01,57.916666666666664,12
2008-10-01,55,12
2008-11-01,52.75,12
2008-12-01,39.75,12
2009-01-01,55.583333333333336,12
2009-02-01,64.25,12
2009-03-01,64.5,12
2009-04-01,64,12
2009-05-01,76,12
2009-06-01,84.16666666666667,12
2009-07-01,77.08333333333333,12
2009-08-01,77.83333333333333,12
2009-09-01,84.91666666666667,12
2009-10-01,81.16666666666667,12
2009-11-01,80.41666666666667,12
2009-12-01,55,12
2010-01-01,75.83333333333333,12
2010-02-01,71.75,12
2010-03-01,67,12
2010-04-01,63.666666666666664,12
2010-05-01,57.583333333333336,12
2010-06-01,66.25,12
2010-07-01,66.58333333333333,12
2010-08-01,67.58333333333333,12
2010-09-01,56.416666666666664,12
2010-10-01,58.833333333333336,12
2010-11-01,60.416666666666664,12
2010-12-01,47.083333333333336,12
2011-01-01,68.41666666666667,12
2011-02-01,56.416666666666664,12
2011-03-01,51.083333333333336,12
2011-04-01,48.333333333333336,12
2011-05-01,39.75,12
2011-06-01,51.25,12
2011-07-01,34.25,12
2011-08-01,39.166666666666664,12
2011-09-01,47.583333333333336,12
2011-10-01,47.25,12
2011-11-01,44.416666666666664,12
2011-12-01,37.083333333333336,12
2012-01-01,42.916666666666664,12
2012-02-01,41.833333333333336,12
2012-03-01,42.833333333333336,12
2012-04-01,42.083333333333336,12
2012-05-01,39,12
2012-06-01,38.916666666666664,12
2012-07-01,41.416666666666664,12
2012-08-01,40.333333333333336,12
2012-09-01,45.916666666666664,12
2012-10-01,43.416666666666664,12
2012-11-01,38.75,12
2012-12-01,30.333333333333332,12
2013-01-01,46,12
2013-02-01,43,12
2013-03-01,42.916666666666664,12
2013-04-01,40.583333333333336,12
2013-05-01,37.75,12
2013-06-01,31.666666666666668,12
2013-07-01,35.833333333333336,12
2013-08-01,37.833333333333336,12
2013-09-01,38.75,12
2013-10-01,39.583333333333336,12
2013-11-01,55.666666666666664,12
2013-12-01,49.75,12
2014-01-01,73.41666666666667,12
2014-02-01,88.41666666666667,12
2014-03-01,77.08333333333333,12
2014-04-01,78.16666666666667,12
2014-05-01,76.58333333333333,12
2014-06-01,78.08333333333333,12
2014-07-01,80.66666666666667,12
2014-08-01,84.5,12
2014-09-01,90.83333333333333,12
2014-10-01,81.41666666666667,12
2014-11-01,88.5,12
2014-12-01,68.41666666666667,12
2015-01-01,95.33333333333333,12
2015-02-01,88.5,12
2015-03-01,88,12
2015-04-01,80.58333333333333,12
2015-05-01,60.416666666666664,12
2015-06-01,62.333333333333336,12
2015-07-01,57.416666666666664,12
2015-08-01,60.25,12
2015-09-01,51.916666666666664,12
2015-10-01,43,12
2015-11-01,47.916666666666664,12
2015-12-01,38.25,12
2016-01-01,46.916666666666664,12
2016-02-01,45.5,12
2016-03-01,43.166666666666664,12
2016-04-01,40.5,12
2016-05-01,36.5,12
2016-06-01,35.5,12
2016-07-01,30.333333333333332,12
2016-08-01,37.583333333333336,12
2016-09-01,39.5,12
2016-10-01,36.916666666666664,12
2016-11-01,36.083333333333336,12
2016-12-01,26.583333333333332,12
2017-01-01,37.916666666666664,12
2017-02-01,41.333333333333336,12
2017-03-01,36.916666666666664,12
2017-04-01,28.083333333333332,12
2017-05-01,30,12
2017-06-01,31,12
2017-07-01,30.416666666666668,12
2017-08-01,28.083333333333332,12
2017-09-01,29.833333333333332,12
2017-10-01,27.666666666666668,12
2017-11-01,24.083333333333332,12
2017-12-01,21.583333333333332,12
2018-01-01,30.5,12
2018-02-01,27,12
2018-03-01,26.666666666666668,12
2018-04-01,23.916666666666668,12
2018-05-01,18.333333333333332,12
2018-06-01,17.25,12
2018-07-01,17.25,12
2018-08-01,16.25,12
2018-09-01,21.75,12
2018-10-01,18.166666666666668,12
2018-11-01,18.833333333333332,12
2018-12-01,12.583333333333334,12
2019-01-01,22.666666666666668,12
2019-02-01,21.416666666666668,12
2019-03-01,18.583333333333332,12
2019-04-01,17.916666666666668,12
2019-05-01,15.583333333333334,12
2019-06-01,13.75,12
2019-07-01,13.833333333333334,12
2019-08-01,15.583333333333334,12
2019-09-01,18,12
2019-10-01,18,12
2019-11-01,16.5,12
2019-12-01,16.666666666666668,12
2020-01-01,19.333333333333332,12
2020-02-01,18.916666666666668,12
2020-03-01,11.75,12
2020-04-01,14.666666666666666,12
2020-05-01,15.166666666666666,12
2020-06-01,18.5,12
