time,value
2006-01-01,-9.567761171123124e-4
2006-01-02,-9.916604556234887e-4
2006-01-03,-9.939692708513803e-4
2006-01-04,-9.637003844620295e-4
2006-01-05,-9.008565602179885e-4
2006-01-06,-8.05430567595522e-4
2006-01-07,-6.774320058458017e-4
2006-01-08,-5.168563245536717e-4
2006-01-09,-3.71582435988671e-4
2006-01-10,-2.416203640116521e-4
2006-01-11,-1.2696378433574296e-4
2006-01-12,-2.7613315307206676e-5
2006-01-13,5.643074427297279e-5
2006-01-14,1.25165815036965e-4
2006-01-15,1.7859673967990375e-4
2006-01-16,2.291014068322994e-4
2006-01-17,2.7668814064796265e-4
2006-01-18,3.2135009280054305e-4
2006-01-19,3.6309232400277835e-4
2006-01-20,4.0190997359879077e-4
2006-01-21,4.3780638901047553e-4
2006-01-22,4.7078201549766163e-4
2006-01-23,4.976304720649694e-4
2006-01-24,5.183537930797399e-4
2006-01-25,5.329545213985654e-4
2006-01-26,5.414270223695894e-4
2006-01-27,5.43774811108122e-4
2006-01-28,5.399987377856519e-4
2006-01-29,5.300937880257095e-4
2006-01-30,5.148982358544885e-4
2006-01-31,4.944014768675231e-4
2006-02-01,4.686101806061771e-4
2006-02-02,4.4201428942791665e-4
2006-02-03,4.146223942775862e-4
2006-02-04,3.864316261772416e-4
2006-02-05,3.574405146800075e-4
2006-02-06,3.274371225057138e-4
2006-02-07,2.964161209231264e-4
2006-02-08,2.643859541162641e-4
2006-02-09,2.3134176180050758e-4
2006-02-10,1.9728145877984105e-4
2006-02-11,1.6220578759629234e-4
2006-02-12,1.2611807215279214e-4
2006-02-13,8.907476350650256e-5
2006-02-14,5.107181373986691e-5
2006-02-15,1.210906834003822e-5
2006-02-16,-2.7811062002669473e-5
2006-02-17,-6.869239224727153e-5
2006-02-18,-1.105292273209102e-4
2006-02-19,-1.5332413604163264e-4
2006-02-20,-1.9709407787082966e-4
2006-02-21,-2.4183468555349918e-4
2006-02-22,-2.875490812321857e-4
2006-02-23,-3.3423429595202947e-4
2006-02-24,-3.818918079616651e-4
2006-02-25,-4.3052471615645516e-4
2006-02-26,-4.801298158092493e-4
2006-02-27,-5.307059478987242e-4
2006-02-28,-5.822466436899987e-4
2006-03-01,-6.347568002578186e-4
2006-03-02,-6.783792234141828e-4
2006-03-03,-7.131079343825064e-4
2006-03-04,-7.389494902234617e-4
2006-03-05,-7.558970819179223e-4
2006-03-06,-7.639548631779292e-4
2006-03-07,-7.63124144288696e-4
2006-03-08,-7.534043609052077e-4
2006-03-09,-7.347943520077393e-4
2006-03-10,-7.072934875314019e-4
2006-03-11,-6.709002675631126e-4
2006-03-12,-6.256213795783339e-4
2006-03-13,-5.714519642765481e-4
2006-03-14,-5.083882222116642e-4
2006-03-15,-4.3643973873841446e-4
2006-03-16,-3.5560020192626496e-4
2006-03-17,-2.6587032175129366e-4
2006-03-18,-1.6724765174380707e-4
2006-03-19,-5.9737925397485014e-5
2006-03-20,5.6660603441116564e-5
2006-03-21,1.8195389961128683e-4
2006-03-22,3.161330923493466e-4
2006-03-23,4.5920379418440405e-4
2006-03-24,6.111651611622193e-4
2006-03-25,7.720155208055246e-4
2006-03-26,9.41753936329448e-4
2006-03-27,0.0011203854324079998
2006-03-28,0.001307905085218053
2006-03-29,0.0015043162123564713
2006-03-30,0.00170961684671056
2006-03-31,0.0019238079990966384
2006-04-01,0.002146889138639807
2006-04-02,0.0023340519796626324
2006-04-03,0.0024852995606536865
2006-04-04,0.0026006286514004273
2006-04-05,0.0026800418011738714
2006-04-06,0.0027235367655649156
2006-04-07,0.0027311174701889485
2006-04-08,0.002702778104367809
2006-04-09,0.0026385250105338542
2006-04-10,0.002538350179957405
2006-04-11,0.0024022600281661255
2006-04-12,0.0022302563967588895
2006-04-13,0.0020223322110641817
2006-04-14,0.0017784914330860602
2006-04-15,0.001498737778360848
2006-04-16,0.0011830611605407881
2006-04-17,8.314710257497637e-4
2006-04-18,4.43963165807304e-4
2006-04-19,2.0537807930764984e-5
2006-04-20,-4.3880281796404574e-4
2006-04-21,-9.34061599830116e-4
2006-04-22,-0.0014652358675206756
2006-04-23,-0.0020323285779362266
2006-04-24,-0.0026353372948904052
2006-04-25,-0.0032742641186320753
2006-04-26,-0.003949107217815495
2006-04-27,-0.004659867305571552
2006-04-28,-0.005406544430218929
2006-04-29,-0.006189139113335074
2006-04-30,-0.007007650193596504
2006-05-01,-0.007862080284551709
2006-05-02,-0.00858726654262476
2006-05-03,-0.00918321357127816
2006-05-04,-0.009649918951486924
2006-05-05,-0.009987383120675375
2006-05-06,-0.01019560895755589
2006-05-07,-0.010274593871859139
2006-05-08,-0.01022433687706581
2006-05-09,-0.010044837551006935
2006-05-10,-0.009736102021660642
2006-05-11,-0.00929812357399662
2006-05-12,-0.008730906597872234
2006-05-13,-0.008034445469890628
2006-05-14,-0.00720874687294959
2006-05-15,-0.006253807005583312
2006-05-16,-0.005169623563119785
2006-05-17,-0.00395620339245184
2006-05-18,-0.002613542529982027
2006-05-19,-0.0011416391434035944
2006-05-20,4.5950430116370455e-4
2006-05-21,0.002189886908656291
2006-05-22,0.004049511594219624
2006-05-23,0.006038377561115027
2006-05-24,0.008156484946240994
2006-05-25,0.010403833042039068
2006-05-26,0.012780422760373611
2006-05-27,0.015286249506125671
2006-05-28,0.017921321712398353
2006-05-29,0.02068563345470409
2006-05-30,0.02357918117195723
2006-05-31,0.02660196715753571
2006-06-01,0.02975399036698434
2006-06-02,0.03240239824823199
2006-06-03,0.03454718643443577
2006-06-04,0.036188355368643954
2006-06-05,0.0373259140029667
2006-06-06,0.037959866174448464
2006-06-07,0.03809020739321234
2006-06-08,0.03771694627357114
2006-06-09,0.03684006904301462
2006-06-10,0.035459588174125756
2006-06-11,0.0335754999488298
2006-06-12,0.031187762699746102
2006-06-13,0.028296369640333552
2006-06-14,0.02490133270305961
2006-06-15,0.021002642037998953
2006-06-16,0.01660030314286054
2006-06-17,0.011694315527879695
2006-06-18,0.0062846776308518315
2006-06-19,3.715488498983177e-4
2006-06-20,-0.006045067224588863
2006-06-21,-0.012965174697235682
2006-06-22,-0.020388765197832726
2006-06-23,-0.028315847860652
2006-06-24,-0.03674642178043186
2006-06-25,-0.04568048163800498
2006-06-26,-0.0551186522489715
2006-06-27,-0.06506093854838824
2006-06-28,-0.0755073340080763
2006-06-29,-0.08645784020774983
2006-06-30,-0.09791245991848108
2006-07-01,-0.10987119073435636
2006-07-02,-0.12002215390084814
2006-07-03,-0.12836294403171422
2006-07-04,-0.13489355833092453
2006-07-05,-0.13961399803455699
2006-07-06,-0.14252426139425722
2006-07-07,-0.14362435194095013
2006-07-08,-0.142914264833939
2006-07-09,-0.1403940064428042
2006-07-10,-0.13607288097582249
2006-07-11,-0.12995089658580383
2006-07-12,-0.12202804501433029
2006-07-13,-0.11230433366617909
2006-07-14,-0.10077975814146889
2006-07-15,-0.08745431972118212
2006-07-16,-0.07232801915527531
2006-07-17,-0.05536485285040804
2006-07-18,-0.03656481591347749
2006-07-19,-0.015927918384962325
2006-07-20,0.006545848631306583
2006-07-21,0.030856483720533845
2006-07-22,0.057003982217315396
2006-07-23,0.08498834843772762
2006-07-24,0.11467037775968691
2006-07-25,0.14605007279841864
2006-07-26,0.1791274286476554
2006-07-27,0.21390245765056726
2006-07-28,0.2503751444109472
2006-07-29,0.2885454992602625
2006-07-30,0.3284135177174754
2006-07-31,0.3705174017268842
2006-08-01,0.4148571579539553
2006-08-02,0.4531338705915662
2006-08-03,0.4853475438098265
2006-08-04,0.5114981805319943
2006-08-05,0.5315857735696916
2006-08-06,0.5456103282542824
2006-08-07,0.5514909552743443
2006-08-08,0.5492276565760044
2006-08-09,0.5388204355908144
2006-08-10,0.520269285362648
2006-08-11,0.49357420841002764
2006-08-12,0.45873521012290475
2006-08-13,0.415752282155875
2006-08-14,0.3726708779386456
2006-08-15,0.32949100220914573
2006-08-16,0.2862126478386102
2006-08-17,0.24283582216471977
2006-08-18,0.19936051691193946
2006-08-19,0.1557867402514841
2006-08-20,0.11211448522913514
2006-08-21,0.03723716061994331
2006-08-22,-0.06884523558727018
2006-08-23,-0.2061327102713726
2006-08-24,-0.37462525585702444
2006-08-25,-0.5743228786684789
2006-08-26,-0.8052255706067175
2006-08-27,-1.067333336058768
2006-08-28,-1.240376910935236
2006-08-29,-1.3243562924113608
2006-08-30,-1.3192714808267176
2006-08-31,-1.2251224773608502
2006-09-01,-1.0419092824645464
2006-09-02,-0.738626019331754
2006-09-03,-0.3152726933900407
2006-09-04,-0.236853423746485
2006-09-05,-0.5033682118215506
2006-09-06,-1.1148170575855403
2006-09-07,-2.0711999590067443
2006-09-08,-3.372516916806825
2006-09-09,-5.018767933229185
2006-09-10,-7.009953006615877
2006-09-11,-8.389941410092572
2006-09-12,37.97881955079843
2006-09-13,-9.31632820277992
