time,value,n
2006-01-01,58,1
2006-02-01,51.5,2
2006-03-01,35.333333333333336,3
2006-04-01,32.25,4
2006-05-01,46,5
2006-06-01,21.833333333333332,6
2006-07-01,30.142857142857142,7
2006-08-01,50.375,8
2006-09-01,32.888888888888886,9
2006-10-01,28.2,10
2006-11-01,55.54545454545455,11
2006-12-01,42.166666666666664,12
2007-01-01,37.5,12
2007-02-01,35,12
2007-03-01,40.75,12
2007-04-01,38,12
2007-05-01,33.25,12
2007-06-01,48.416666666666664,12
2007-07-01,37.75,12
2007-08-01,49.5,12
2007-09-01,42.083333333333336,12
2007-10-01,44.416666666666664,12
2007-11-01,38.916666666666664,12
2007-12-01,44,12
2008-01-01,39.25,12
2008-02-01,48,12
2008-03-01,44.166666666666664,12
2008-04-01,47.75,12
2008-05-01,33.333333333333336,12
2008-06-01,44.5,12
2008-07-01,42.083333333333336,12
2008-08-01,39.75,12
2008-09-01,31.25,12
2008-10-01,42.333333333333336,12
2008-11-01,30.666666666666668,12
2008-12-01,31,12
2009-01-01,36.25,12
2009-02-01,38.416666666666664,12
2009-03-01,41.25,12
2009-04-01,52.25,12
2009-05-01,42.416666666666664,12
2009-06-01,44.416666666666664,12
2009-07-01,39.916666666666664,12
2009-08-01,39.333333333333336,12
2009-09-01,41,12
2009-10-01,52.583333333333336,12
2009-11-01,50.25,12
2009-12-01,44.75,12
2010-01-01,52.666666666666664,12
2010-02-01,50.166666666666664,12
2010-03-01,47.666666666666664,12
2010-04-01,50.5,12
2010-05-01,46.166666666666664,12
2010-06-01,47.25,12
2010-07-01,37.25,12
2010-08-01,52.666666666666664,12
2010-09-01,39.416666666666664,12
2010-10-01,37.833333333333336,12
2010-11-01,43.416666666666664,12
2010-12-01,41.75,12
2011-01-01,38.083333333333336,12
2011-02-01,45.083333333333336,12
2011-03-01,47.083333333333336,12
2011-04-01,39.583333333333336,12
2011-05-01,41.666666666666664,12
2011-06-01,49.833333333333336,12
2011-07-01,44.083333333333336,12
2011-08-01,46.5,12
2011-09-01,37.083333333333336,12
2011-10-01,46.166666666666664,12
2011-11-01,39.5,12
2011-12-01,34.583333333333336,12
2012-01-01,45.5,12
2012-02-01,50,12
2012-03-01,42.666666666666664,12
2012-04-01,35.583333333333336,12
2012-05-01,42.916666666666664,12
2012-06-01,43.5,12
2012-07-01,52.833333333333336,12
2012-08-01,47.583333333333336,12
2012-09-01,49.333333333333336,12
2012-10-01,42,12
2012-11-01,42.166666666666664,12
2012-12-01,39.083333333333336,12
2013-01-01,47.833333333333336,12
2013-02-01,53,12
2013-03-01,48,12
2013-04-01,44.833333333333336,12
2013-05-01,51.25,12
2013-06-01,53.75,12
2013-07-01,54.083333333333336,12
2013-08-01,52.583333333333336,12
2013-09-01,55.833333333333336,12
2013-10-01,52.75,12
2013-11-01,49.333333333333336,12
2013-12-01,51.416666666666664,12
2014-01-01,60.333333333333336,12
2014-02-01,58.25,12
2014-03-01,54.916666666666664,12
2014-04-01,52.916666666666664,12
2014-05-01,62.833333333333336,12
2014-06-01,54.166666666666664,12
2014-07-01,52.416666666666664,12
2014-08-01,61.833333333333336,12
2014-09-01,72,12
2014-10-01,70.16666666666667,12
2014-11-01,60.5,12
2014-12-01,57.666666666666664,12
2015-01-01,61.75,12
2015-02-01,68.83333333333333,12
2015-03-01,66.66666666666667,12
2015-04-01,56.083333333333336,12
2015-05-01,70.5,12
2015-06-01,58.75,12
2015-07-01,65.91666666666667,12
2015-08-01,60.333333333333336,12
2015-09-01,63.416666666666664,12
2015-10-01,65.41666666666667,12
2015-11-01,64.66666666666667,12
2015-12-01,70.66666666666667,12
2016-01-01,61,12
2016-02-01,61,12
2016-03-01,63,12
2016-04-01,65.83333333333333,12
2016-05-01,58.416666666666664,12
2016-06-01,59.25,12
2016-07-01,65.5,12
2016-08-01,70.08333333333333,12
2016-09-01,64.91666666666667,12
2016-10-01,61.333333333333336,12
2016-11-01,64.41666666666667,12
2016-12-01,51.25,12
2017-01-01,68.08333333333333,12
2017-02-01,71.58333333333333,12
2017-03-01,64.41666666666667,12
2017-04-01,54.666666666666664,12
2017-05-01,63.5,12
2017-06-01,66.5,12
2017-07-01,54.666666666666664,12
2017-08-01,69.33333333333333,12
2017-09-01,75.5,12
2017-10-01,65.75,12
2017-11-01,68.08333333333333,12
2017-12-01,58.5,12
2018-01-01,71.16666666666667,12
2018-02-01,73,12
2018-03-01,73.33333333333333,12
2018-04-01,71.33333333333333,12
2018-05-01,64.16666666666667,12
2018-06-01,64.41666666666667,12
2018-07-01,57.416666666666664,12
2018-08-01,53.25,12
2018-09-01,55.583333333333336,12
2018-10-01,68.16666666666667,12
2018-11-01,58.333333333333336,12
2018-12-01,56,12
2019-01-01,91.66666666666667,12
2019-02-01,80.33333333333333,12
2019-03-01,67.08333333333333,12
2019-04-01,70.16666666666667,12
2019-05-01,99,12
2019-06-01,57.833333333333336,12
2019-07-01,64.08333333333333,12
2019-08-01,65.58333333333333,12
2019-09-01,70.91666666666667,12
2019-10-01,66.75,12
2019-11-01,66.25,12
2019-12-01,57.416666666666664,12
2020-01-01,73.08333333333333,12
2020-02-01,68.66666666666667,12
2020-03-01,59.166666666666664,12
2020-04-01,61.75,12
2020-05-01,57.25,12
2020-06-01,65.16666666666667,12
