time,value,n
2006-01-01,36.333333333333336,3
2006-01-02,44,1
2006-01-03,0,1
2006-01-04,34,1
2006-01-05,36,1
2006-01-06,38,1
2006-01-07,0,1
2006-01-08,100,1
2006-01-09,0,1
2006-01-10,33,1
2006-01-11,0,1
2006-01-12,34,1
2006-01-13,0,1
2006-01-14,0,1
2006-01-15,0,1
2006-01-16,0,2
2006-01-17,0,2
2006-01-18,0,2
2006-01-19,32.5,2
2006-01-20,0,2
2006-01-21,0,2
2006-01-22,22.5,2
2006-01-23,15.5,2
2006-01-24,0,2
2006-01-25,0,2
2006-01-26,17,2
2006-01-27,18,2
2006-01-28,50,2
2006-01-29,0,2
2006-01-30,0,2
2006-01-31,21.333333333333332,3
2006-02-01,47.285714285714285,7
2006-02-02,23.666666666666668,3
2006-02-03,0,3
2006-02-04,17.666666666666668,3
2006-02-05,0,3
2006-02-06,10.333333333333334,3
2006-02-07,22.333333333333332,3
2006-02-08,10.333333333333334,3
2006-02-09,0,3
2006-02-10,0,3
2006-02-11,0,3
2006-02-12,18.333333333333332,3
2006-02-13,10,3
2006-02-14,10.666666666666666,3
2006-02-15,16.5,4
2006-02-16,55.25,4
2006-02-17,22.5,4
2006-02-18,0,4
2006-02-19,43,4
2006-02-20,0,4
2006-02-21,0,4
2006-02-22,38.5,4
2006-02-23,9.5,4
2006-02-24,34,4
2006-02-25,0,4
2006-02-26,42.25,4
2006-02-27,21,4
2006-02-28,12.75,4
2006-03-01,52.25,8
2006-03-02,0,5
2006-03-03,40.2,5
2006-03-04,0,5
2006-03-05,0,5
2006-03-06,0,5
2006-03-07,31.4,5
2006-03-08,16.8,5
2006-03-09,27.6,5
2006-03-10,23.8,5
2006-03-11,0,5
2006-03-12,62.6,5
2006-03-13,0,5
2006-03-14,0,5
2006-03-15,13.6,5
2006-03-16,0,5
2006-03-17,20.5,6
2006-03-18,33.166666666666664,6
2006-03-19,0,6
2006-03-20,10.5,6
2006-03-21,0,6
2006-03-22,0,6
2006-03-23,0,6
2006-03-24,27.166666666666668,6
2006-03-25,0,6
2006-03-26,0,6
2006-03-27,31,6
2006-03-28,14.833333333333334,6
2006-03-29,40.5,6
2006-03-30,44.5,6
