time,value,n
2006-01-01,82,1
2006-02-01,94,2
2006-03-01,78,3
2006-04-01,70.25,4
2006-05-01,57.4,5
2006-06-01,39.833333333333336,6
2006-07-01,51.57142857142857,7
2006-08-01,48.625,8
2006-09-01,74.55555555555556,9
2006-10-01,51.3,10
2006-11-01,59.09090909090909,11
2006-12-01,39.416666666666664,12
2007-01-01,48.916666666666664,12
2007-02-01,50.666666666666664,12
2007-03-01,35.583333333333336,12
2007-04-01,58.75,12
2007-05-01,51.833333333333336,12
2007-06-01,50.333333333333336,12
2007-07-01,57.916666666666664,12
2007-08-01,57.583333333333336,12
2007-09-01,40.75,12
2007-10-01,55.333333333333336,12
2007-11-01,33.166666666666664,12
2007-12-01,34.5,12
2008-01-01,46.75,12
2008-02-01,48.666666666666664,12
2008-03-01,57.416666666666664,12
2008-04-01,39.416666666666664,12
2008-05-01,39.5,12
2008-06-01,47.916666666666664,12
2008-07-01,73.08333333333333,12
2008-08-01,33.916666666666664,12
2008-09-01,30,12
2008-10-01,30.083333333333332,12
2008-11-01,49.083333333333336,12
2008-12-01,39.166666666666664,12
2009-01-01,64.58333333333333,12
2009-02-01,46,12
2009-03-01,65.25,12
2009-04-01,72.16666666666667,12
2009-05-01,55.75,12
2009-06-01,67.33333333333333,12
2009-07-01,54.583333333333336,12
2009-08-01,56.083333333333336,12
2009-09-01,56.083333333333336,12
2009-10-01,85.33333333333333,12
2009-11-01,58.916666666666664,12
2009-12-01,49.166666666666664,12
2010-01-01,50.916666666666664,12
2010-02-01,56,12
2010-03-01,38.916666666666664,12
2010-04-01,45.166666666666664,12
2010-05-01,31.5,12
2010-06-01,45.583333333333336,12
2010-07-01,52.25,12
2010-08-01,60.083333333333336,12
2010-09-01,52.333333333333336,12
2010-10-01,52,12
2010-11-01,46.166666666666664,12
2010-12-01,38.583333333333336,12
2011-01-01,59.333333333333336,12
2011-02-01,45.083333333333336,12
2011-03-01,40,12
2011-04-01,47.833333333333336,12
2011-05-01,43.916666666666664,12
2011-06-01,39.583333333333336,12
2011-07-01,43.333333333333336,12
2011-08-01,55.916666666666664,12
2011-09-01,47.083333333333336,12
2011-10-01,47.5,12
2011-11-01,47.166666666666664,12
2011-12-01,38.583333333333336,12
2012-01-01,43.25,12
2012-02-01,47.833333333333336,12
2012-03-01,45.25,12
2012-04-01,50.75,12
2012-05-01,39.333333333333336,12
2012-06-01,44.083333333333336,12
2012-07-01,53,12
2012-08-01,47.416666666666664,12
2012-09-01,46.666666666666664,12
2012-10-01,49.166666666666664,12
2012-11-01,44.75,12
2012-12-01,33.5,12
2013-01-01,46.083333333333336,12
2013-02-01,40.833333333333336,12
2013-03-01,33.083333333333336,12
2013-04-01,52.916666666666664,12
2013-05-01,40.666666666666664,12
2013-06-01,45.666666666666664,12
2013-07-01,49.916666666666664,12
2013-08-01,54.666666666666664,12
2013-09-01,53.75,12
2013-10-01,53.333333333333336,12
2013-11-01,56.5,12
2013-12-01,40.75,12
2014-01-01,47.583333333333336,12
2014-02-01,55.833333333333336,12
2014-03-01,56.666666666666664,12
2014-04-01,54.75,12
2014-05-01,43.083333333333336,12
2014-06-01,46.916666666666664,12
2014-07-01,51.166666666666664,12
2014-08-01,44,12
2014-09-01,52.166666666666664,12
2014-10-01,63.083333333333336,12
2014-11-01,58.833333333333336,12
2014-12-01,54.166666666666664,12
2015-01-01,55.75,12
2015-02-01,53.333333333333336,12
2015-03-01,49.916666666666664,12
2015-04-01,50.916666666666664,12
2015-05-01,57.416666666666664,12
2015-06-01,57.166666666666664,12
2015-07-01,46.25,12
2015-08-01,60.166666666666664,12
2015-09-01,59.25,12
2015-10-01,54.166666666666664,12
2015-11-01,56.25,12
2015-12-01,50.5,12
2016-01-01,62.666666666666664,12
2016-02-01,55.166666666666664,12
2016-03-01,52.083333333333336,12
2016-04-01,61.75,12
2016-05-01,55.25,12
2016-06-01,49.583333333333336,12
2016-07-01,45.416666666666664,12
2016-08-01,55.083333333333336,12
2016-09-01,60.583333333333336,12
2016-10-01,52.333333333333336,12
2016-11-01,59.333333333333336,12
2016-12-01,51.916666666666664,12
2017-01-01,50.916666666666664,12
2017-02-01,55.416666666666664,12
2017-03-01,46.916666666666664,12
2017-04-01,48.666666666666664,12
2017-05-01,53.583333333333336,12
2017-06-01,52.75,12
2017-07-01,56.083333333333336,12
2017-08-01,48.916666666666664,12
2017-09-01,57.666666666666664,12
2017-10-01,49.666666666666664,12
2017-11-01,49.083333333333336,12
2017-12-01,45.5,12
2018-01-01,44.083333333333336,12
2018-02-01,52.5,12
2018-03-01,44.583333333333336,12
2018-04-01,53.833333333333336,12
2018-05-01,45.083333333333336,12
2018-06-01,54.5,12
2018-07-01,45,12
2018-08-01,44.583333333333336,12
2018-09-01,40.5,12
2018-10-01,53.5,12
2018-11-01,60.083333333333336,12
2018-12-01,32.25,12
2019-01-01,52.083333333333336,12
2019-02-01,52,12
2019-03-01,40.916666666666664,12
2019-04-01,55.25,12
2019-05-01,36.083333333333336,12
2019-06-01,48.583333333333336,12
2019-07-01,40.583333333333336,12
2019-08-01,44.333333333333336,12
2019-09-01,50.25,12
2019-10-01,49.75,12
2019-11-01,57.583333333333336,12
2019-12-01,44.583333333333336,12
2020-01-01,45.416666666666664,12
2020-02-01,50.083333333333336,12
2020-03-01,95.5,12
2020-04-01,70.91666666666667,12
2020-05-01,52.25,12
2020-06-01,58.166666666666664,12
