time,value,n
2006-01-01,27,2
2006-01-02,29,1
2006-01-03,22,1
2006-01-04,21,1
2006-01-05,45,1
2006-01-06,24,1
2006-01-07,35,1
2006-01-08,94,1
2006-01-09,40,1
2006-01-10,21,1
2006-01-11,83,1
2006-01-12,42,1
2006-01-13,23,1
2006-01-14,34,1
2006-01-15,31,1
2006-01-16,66,2
2006-01-17,35,2
2006-01-18,45,2
2006-01-19,38,2
2006-01-20,43.5,2
2006-01-21,21.5,2
2006-01-22,51.5,2
2006-01-23,42,2
2006-01-24,26,2
2006-01-25,36.5,2
2006-01-26,40,2
2006-01-27,49,2
2006-01-28,36.5,2
2006-01-29,19,2
2006-01-30,37.5,2
2006-01-31,31.333333333333332,3
2006-02-01,57,5
2006-02-02,25.666666666666668,3
2006-02-03,31.333333333333332,3
2006-02-04,56.333333333333336,3
2006-02-05,28.666666666666668,3
2006-02-06,40.333333333333336,3
2006-02-07,34.333333333333336,3
2006-02-08,42.333333333333336,3
2006-02-09,28.666666666666668,3
2006-02-10,34.666666666666664,3
2006-02-11,39.333333333333336,3
2006-02-12,29,3
2006-02-13,43.333333333333336,3
2006-02-14,28.666666666666668,3
2006-02-15,29.25,4
2006-02-16,21,4
2006-02-17,27.5,4
2006-02-18,40.25,4
2006-02-19,44,4
2006-02-20,20,4
2006-02-21,43.5,4
2006-02-22,46.5,4
2006-02-23,17,4
2006-02-24,24,4
2006-02-25,36,4
2006-02-26,37,4
2006-02-27,51.5,4
2006-02-28,38.5,4
2006-03-01,39.666666666666664,6
2006-03-02,55.8,5
2006-03-03,28.8,5
2006-03-04,39,5
2006-03-05,26.4,5
2006-03-06,32,5
2006-03-07,43.8,5
2006-03-08,34.8,5
2006-03-09,28,5
2006-03-10,18,5
2006-03-11,46.6,5
2006-03-12,36,5
2006-03-13,30.8,5
2006-03-14,33.4,5
2006-03-15,36.4,5
2006-03-16,39.2,5
2006-03-17,35,6
2006-03-18,22.666666666666668,6
2006-03-19,21.333333333333332,6
2006-03-20,30.5,6
2006-03-21,33.5,6
2006-03-22,37,6
2006-03-23,22.833333333333332,6
2006-03-24,24.333333333333332,6
2006-03-25,48.5,6
2006-03-26,10.833333333333334,6
2006-03-27,40.166666666666664,6
2006-03-28,34.833333333333336,6
2006-03-29,32,6
2006-03-30,21.333333333333332,6
2006-03-31,49.166666666666664,6
2006-04-01,26.22222222222222,9
2006-04-02,16.428571428571427,7
2006-04-03,28,7
2006-04-04,30,7
2006-04-05,21,7
2006-04-06,30.714285714285715,7
2006-04-07,33.57142857142857,7
2006-04-08,12,7
2006-04-09,15.285714285714286,7
2006-04-10,39.57142857142857,7
2006-04-11,38.57142857142857,7
2006-04-12,25.714285714285715,7
2006-04-13,20.428571428571427,7
2006-04-14,17,7
2006-04-15,22.142857142857142,7
2006-04-16,40,8
2006-04-17,20,8
2006-04-18,35.25,8
2006-04-19,38.125,8
2006-04-20,17.5,8
2006-04-21,36.75,8
2006-04-22,61.25,8
2006-04-23,36.5,8
2006-04-24,36.125,8
2006-04-25,23.25,8
2006-04-26,40.375,8
2006-04-27,32.125,8
2006-04-28,26.25,8
2006-04-29,45.375,8
2006-04-30,23,8
2006-05-01,32.63636363636363,11
2006-05-02,38.888888888888886,9
2006-05-03,35.77777777777778,9
2006-05-04,35.333333333333336,9
2006-05-05,37.44444444444444,9
2006-05-06,6.777777777777778,9
2006-05-07,19.88888888888889,9
2006-05-08,31.666666666666668,9
2006-05-09,42.22222222222222,9
2006-05-10,21.11111111111111,9
2006-05-11,37.22222222222222,9
2006-05-12,27.333333333333332,9
2006-05-13,6.222222222222222,9
2006-05-14,40.77777777777778,9
2006-05-15,32.888888888888886,9
2006-05-16,19.7,10
2006-05-17,39.6,10
2006-05-18,18,10
2006-05-19,33.2,10
2006-05-20,19.6,10
2006-05-21,31,10
2006-05-22,28,10
2006-05-23,51,10
2006-05-24,33.4,10
2006-05-25,39.3,10
2006-05-26,28.3,10
2006-05-27,3.5,10
2006-05-28,25.1,10
2006-05-29,27.7,10
2006-05-30,49.7,10
2006-05-31,39.63636363636363,11
2006-06-01,33.53846153846154,13
2006-06-02,15.545454545454545,11
2006-06-03,10,11
2006-06-04,2.909090909090909,11
2006-06-05,4.818181818181818,11
2006-06-06,39.45454545454545,11
2006-06-07,18.454545454545453,11
2006-06-08,33.27272727272727,11
2006-06-09,10.818181818181818,11
2006-06-10,22,11
2006-06-11,21.545454545454547,11
2006-06-12,29.454545454545453,11
2006-06-13,17.90909090909091,11
2006-06-14,34.72727272727273,11
2006-06-15,26.083333333333332,12
2006-06-16,20.5,12
2006-06-17,21.583333333333332,12
2006-06-18,13,12
2006-06-19,26.416666666666668,12
2006-06-20,21.75,12
2006-06-21,38.25,12
2006-06-22,31.666666666666668,12
2006-06-23,33.916666666666664,12
2006-06-24,29.333333333333332,12
2006-06-25,14.166666666666666,12
2006-06-26,14,12
2006-06-27,22.166666666666668,12
2006-06-28,34,12
2006-06-29,41.75,12
2006-06-30,11.615384615384615,13
2006-07-01,34.93333333333333,15
2006-07-02,27.666666666666668,12
2006-07-03,27.083333333333332,12
2006-07-04,52.5,12
2006-07-05,47.75,12
2006-07-06,10.916666666666666,12
2006-07-07,43.083333333333336,12
2006-07-08,34.916666666666664,12
2006-07-09,0,12
2006-07-10,38.166666666666664,12
2006-07-11,12.416666666666666,12
2006-07-12,38.75,12
2006-07-13,20.583333333333332,12
2006-07-14,38.75,12
2006-07-15,41.38461538461539,13
2006-07-16,16.307692307692307,13
2006-07-17,30.416666666666668,12
2006-07-18,26.75,12
2006-07-19,27.333333333333332,12
2006-07-20,34.083333333333336,12
2006-07-21,20.75,12
2006-07-22,50.666666666666664,12
2006-07-23,34,12
2006-07-24,30.416666666666668,12
2006-07-25,28.583333333333332,12
2006-07-26,49.75,12
2006-07-27,25.833333333333332,12
2006-07-28,21.666666666666668,12
2006-07-29,16.583333333333332,12
2006-07-30,20.53846153846154,13
2006-07-31,31,13
2006-08-01,26.571428571428573,14
2006-08-02,12.333333333333334,12
2006-08-03,34.333333333333336,12
2006-08-04,23.666666666666668,12
2006-08-05,26.5,12
2006-08-06,69.08333333333333,12
2006-08-07,26.5,12
2006-08-08,34.083333333333336,12
2006-08-09,31.916666666666668,12
2006-08-10,27,12
2006-08-11,41.916666666666664,12
2006-08-12,3,12
2006-08-13,22.583333333333332,12
2006-08-14,29.307692307692307,13
2006-08-15,46.07692307692308,13
2006-08-16,34.333333333333336,12
2006-08-17,26.083333333333332,12
2006-08-18,37.25,12
2006-08-19,10.25,12
2006-08-20,20.416666666666668,12
2006-08-21,45.083333333333336,12
2006-08-22,31.166666666666668,12
2006-08-23,32.166666666666664,12
2006-08-24,27.75,12
2006-08-25,24,12
2006-08-26,23.25,12
2006-08-27,42.416666666666664,12
2006-08-28,20.416666666666668,12
2006-08-29,32.15384615384615,13
2006-08-30,36.92307692307692,13
2006-08-31,39.07692307692308,13
2006-09-01,40.2,15
2006-09-02,40,13
2006-09-03,25.916666666666668,12
2006-09-04,33.166666666666664,12
2006-09-05,48.5,12
2006-09-06,34,12
2006-09-07,23.583333333333332,12
2006-09-08,35.833333333333336,12
2006-09-09,0,12
2006-09-10,6.833333333333333,12
2006-09-11,35.75,12
2006-09-12,22.583333333333332,12
2006-09-13,16.53846153846154,13
2006-09-14,17.615384615384617,13
2006-09-15,41.61538461538461,13
2006-09-16,21.153846153846153,13
2006-09-17,15.461538461538462,13
2006-09-18,32.5,12
2006-09-19,21.166666666666668,12
2006-09-20,30.25,12
2006-09-21,43.416666666666664,12
2006-09-22,14.75,12
2006-09-23,12.833333333333334,12
2006-09-24,39.166666666666664,12
2006-09-25,35.166666666666664,12
2006-09-26,30.166666666666668,12
2006-09-27,30.75,12
2006-09-28,15.615384615384615,13
2006-09-29,41.23076923076923,13
2006-09-30,28.23076923076923,13
2006-10-01,58.93333333333333,15
2006-10-02,42.5,12
2006-10-03,27.083333333333332,12
2006-10-04,15.25,12
2006-10-05,40.583333333333336,12
2006-10-06,3.5833333333333335,12
2006-10-07,7.416666666666667,12
2006-10-08,43.916666666666664,12
2006-10-09,28.25,12
2006-10-10,45.833333333333336,12
2006-10-11,7.333333333333333,12
2006-10-12,37.583333333333336,12
2006-10-13,38.23076923076923,13
2006-10-14,18.23076923076923,13
2006-10-15,34.84615384615385,13
2006-10-16,18.53846153846154,13
2006-10-17,27.083333333333332,12
2006-10-18,42.916666666666664,12
2006-10-19,22.083333333333332,12
2006-10-20,52.916666666666664,12
2006-10-21,15.416666666666666,12
2006-10-22,47,12
2006-10-23,22.916666666666668,12
2006-10-24,16.583333333333332,12
2006-10-25,40.666666666666664,12
2006-10-26,13.916666666666666,12
2006-10-27,46.916666666666664,12
2006-10-28,12.153846153846153,13
2006-10-29,16.076923076923077,13
2006-10-30,24.076923076923077,13
2006-10-31,27.76923076923077,13
2006-11-01,26,15
2006-11-02,45.833333333333336,12
2006-11-03,25.583333333333332,12
2006-11-04,5.083333333333333,12
2006-11-05,22.25,12
2006-11-06,29.583333333333332,12
2006-11-07,26,12
2006-11-08,37.083333333333336,12
2006-11-09,30.166666666666668,12
2006-11-10,17.5,12
2006-11-11,16.166666666666668,12
2006-11-12,26.153846153846153,13
2006-11-13,16.76923076923077,13
2006-11-14,38,13
2006-11-15,42.84615384615385,13
2006-11-16,43.84615384615385,13
2006-11-17,19.666666666666668,12
2006-11-18,21.666666666666668,12
2006-11-19,58.416666666666664,12
2006-11-20,34.666666666666664,12
2006-11-21,15,12
2006-11-22,9.916666666666666,12
2006-11-23,28.083333333333332,12
2006-11-24,25.833333333333332,12
2006-11-25,6.5,12
2006-11-26,18.416666666666668,12
2006-11-27,45.84615384615385,13
2006-11-28,28.076923076923077,13
2006-11-29,29.923076923076923,13
2006-11-30,17.384615384615383,13
2006-12-01,26.133333333333333,15
2006-12-02,25.5,12
2006-12-03,19.333333333333332,12
2006-12-04,31.916666666666668,12
2006-12-05,20.5,12
2006-12-06,39.083333333333336,12
2006-12-07,18.666666666666668,12
2006-12-08,10.25,12
2006-12-09,11.416666666666666,12
2006-12-10,16.916666666666668,12
2006-12-11,22.916666666666668,12
2006-12-12,27.846153846153847,13
2006-12-13,27.615384615384617,13
2006-12-14,34.30769230769231,13
2006-12-15,17.46153846153846,13
2006-12-16,31.916666666666668,12
2006-12-17,26.333333333333332,12
2006-12-18,16.666666666666668,12
2006-12-19,27.416666666666668,12
2006-12-20,27.166666666666668,12
2006-12-21,34,12
2006-12-22,26.916666666666668,12
2006-12-23,4.916666666666667,12
2006-12-24,24.666666666666668,12
2006-12-25,0,12
2006-12-26,31.25,12
2006-12-27,22.846153846153847,13
2006-12-28,5.384615384615385,13
2006-12-29,34.76923076923077,13
2006-12-30,10.923076923076923,13
2006-12-31,30,12
2007-01-01,15.214285714285714,14
2007-01-02,26.25,12
2007-01-03,39.75,12
2007-01-04,19.5,12
2007-01-05,13.666666666666666,12
2007-01-06,27.083333333333332,12
2007-01-07,31.75,12
2007-01-08,46.416666666666664,12
2007-01-09,37.583333333333336,12
2007-01-10,30.416666666666668,12
2007-01-11,23.53846153846154,13
2007-01-12,27.153846153846153,13
2007-01-13,9.307692307692308,13
2007-01-14,41.53846153846154,13
2007-01-15,32.61538461538461,13
2007-01-16,30.833333333333332,12
2007-01-17,21.333333333333332,12
2007-01-18,25.583333333333332,12
2007-01-19,30.416666666666668,12
2007-01-20,25.916666666666668,12
2007-01-21,28,12
2007-01-22,45.333333333333336,12
2007-01-23,52.25,12
2007-01-24,37.166666666666664,12
2007-01-25,32.583333333333336,12
2007-01-26,46.61538461538461,13
2007-01-27,21.846153846153847,13
2007-01-28,24.153846153846153,13
2007-01-29,35.30769230769231,13
2007-01-30,26.46153846153846,13
2007-01-31,31.416666666666668,12
2007-02-01,20.857142857142858,14
2007-02-02,29.833333333333332,12
2007-02-03,27.916666666666668,12
2007-02-04,31.083333333333332,12
2007-02-05,20,12
2007-02-06,37.583333333333336,12
2007-02-07,33.916666666666664,12
2007-02-08,7.583333333333333,12
2007-02-09,25.333333333333332,12
2007-02-10,15.384615384615385,13
2007-02-11,13.307692307692308,13
2007-02-12,24.384615384615383,13
2007-02-13,25.46153846153846,13
2007-02-14,34.92307692307692,13
2007-02-15,29.833333333333332,12
2007-02-16,24.25,12
2007-02-17,20.5,12
2007-02-18,35.75,12
2007-02-19,29.833333333333332,12
2007-02-20,34.166666666666664,12
2007-02-21,32.833333333333336,12
2007-02-22,30.583333333333332,12
2007-02-23,12.833333333333334,12
2007-02-24,35,12
2007-02-25,17.153846153846153,13
2007-02-26,26,13
2007-02-27,34.15384615384615,13
2007-02-28,42.84615384615385,13
2007-03-01,32.266666666666666,15
2007-03-02,41.583333333333336,12
2007-03-03,19.5,12
2007-03-04,0,12
2007-03-05,20.916666666666668,12
2007-03-06,30.416666666666668,12
2007-03-07,38.166666666666664,12
2007-03-08,21.583333333333332,12
2007-03-09,23.833333333333332,12
2007-03-10,39.666666666666664,12
2007-03-11,13.916666666666666,12
2007-03-12,28.615384615384617,13
2007-03-13,47.15384615384615,13
