Name;SW UNEMPLOYMENT RATE (METHOD BREAK JAN 2014) SADJ
15.01.1970;0.01
15.02.1970;0.01
15.03.1970;0
15.04.1970;0
15.05.1970;0
15.06.1970;0
15.07.1970;0
15.08.1970;0
15.09.1970;0
15.10.1970;0
15.11.1970;0
15.12.1970;0
15.01.1971;0
15.02.1971;0
15.03.1971;0
15.04.1971;0
15.05.1971;0
15.06.1971;0
15.07.1971;0
15.08.1971;0
15.09.1971;0
15.10.1971;0
15.11.1971;0
15.12.1971;0
15.01.1972;0
15.02.1972;0
15.03.1972;0
15.04.1972;0
15.05.1972;0
15.06.1972;0
15.07.1972;0
15.08.1972;0
15.09.1972;0
15.10.1972;0
15.11.1972;0
15.12.1972;0
15.01.1973;0
15.02.1973;0
15.03.1973;0
15.04.1973;0
15.05.1973;0
15.06.1973;0
15.07.1973;0
15.08.1973;0
15.09.1973;0
15.10.1973;0
15.11.1973;0
15.12.1973;0
15.01.1974;0
15.02.1974;0
15.03.1974;0
15.04.1974;0
15.05.1974;0
15.06.1974;0
15.07.1974;0
15.08.1974;0
15.09.1974;0.01
15.10.1974;0.01
15.11.1974;0.02
15.12.1974;0.03
15.01.1975;0.04
15.02.1975;0.07
15.03.1975;0.11
15.04.1975;0.17
15.05.1975;0.24
15.06.1975;0.32
15.07.1975;0.41
15.08.1975;0.51
15.09.1975;0.59
15.10.1975;0.65
15.11.1975;0.69
15.12.1975;0.72
15.01.1976;0.75
15.02.1976;0.78
15.03.1976;0.81
15.04.1976;0.81
15.05.1976;0.8
15.06.1976;0.77
15.07.1976;0.72
15.08.1976;0.66
15.09.1976;0.6
15.10.1976;0.55
15.11.1976;0.51
15.12.1976;0.48
15.01.1977;0.46
15.02.1977;0.44
15.03.1977;0.43
15.04.1977;0.42
15.05.1977;0.41
15.06.1977;0.4
15.07.1977;0.39
15.08.1977;0.37
15.09.1977;0.36
15.10.1977;0.35
15.11.1977;0.34
15.12.1977;0.34
15.01.1978;0.34
15.02.1978;0.34
15.03.1978;0.33
15.04.1978;0.33
15.05.1978;0.33
15.06.1978;0.33
15.07.1978;0.33
15.08.1978;0.34
15.09.1978;0.35
15.10.1978;0.36
15.11.1978;0.37
15.12.1978;0.37
15.01.1979;0.38
15.02.1979;0.38
15.03.1979;0.37
15.04.1979;0.37
15.05.1979;0.37
15.06.1979;0.37
15.07.1979;0.36
15.08.1979;0.34
15.09.1979;0.32
15.10.1979;0.3
15.11.1979;0.28
