time,value,n
2006-01-01,61,2
2006-02-01,29.75,4
2006-03-01,41.4,5
2006-04-01,52,6
2006-05-01,47.714285714285715,7
2006-06-01,29.75,8
2006-07-01,23,9
2006-08-01,46,10
2006-09-01,22.727272727272727,11
2006-10-01,51.916666666666664,12
2006-11-01,37.69230769230769,13
2006-12-01,26.142857142857142,14
2007-01-01,37.666666666666664,15
2007-02-01,45.733333333333334,15
2007-03-01,39.13333333333333,15
2007-04-01,27.133333333333333,15
2007-05-01,38.46666666666667,15
2007-06-01,33.666666666666664,15
2007-07-01,40.06666666666667,15
2007-08-01,40.2,15
2007-09-01,43.06666666666667,15
2007-10-01,31.8,15
2007-11-01,29.466666666666665,15
2007-12-01,41.733333333333334,15
2008-01-01,32.4,15
2008-02-01,36.86666666666667,15
2008-03-01,35.266666666666666,15
2008-04-01,31.733333333333334,15
2008-05-01,34.333333333333336,15
2008-06-01,31.6,15
2008-07-01,17.533333333333335,15
2008-08-01,18.6,15
2008-09-01,43.53333333333333,15
2008-10-01,40.733333333333334,15
2008-11-01,37.93333333333333,15
2008-12-01,38.13333333333333,15
2009-01-01,43.6,15
2009-02-01,66.86666666666666,15
2009-03-01,43.46666666666667,15
2009-04-01,42.13333333333333,15
2009-05-01,38,15
2009-06-01,38.266666666666666,15
2009-07-01,38,15
2009-08-01,44.8,15
2009-09-01,42.733333333333334,15
2009-10-01,47.86666666666667,15
2009-11-01,52.4,15
2009-12-01,43.2,15
2010-01-01,37.8,15
2010-02-01,33.46666666666667,15
2010-03-01,33.46666666666666,15
2010-04-01,29.4,15
2010-05-01,39,15
2010-06-01,33.333333333333336,15
2010-07-01,23.933333333333334,15
2010-08-01,38.53333333333333,15
2010-09-01,36.733333333333334,15
2010-10-01,30.2,15
2010-11-01,37.93333333333333,15
2010-12-01,23.4,15
2011-01-01,41.13333333333333,15
2011-02-01,47.13333333333333,15
2011-03-01,41.8,15
2011-04-01,32.4,15
2011-05-01,48.2,15
2011-06-01,38.733333333333334,15
2011-07-01,29.533333333333335,15
2011-08-01,30.866666666666667,15
2011-09-01,39.733333333333334,15
2011-10-01,39.666666666666664,15
2011-11-01,44.93333333333333,15
2011-12-01,34.666666666666664,15
2012-01-01,39.333333333333336,15
2012-02-01,42.6,15
2012-03-01,39.733333333333334,15
2012-04-01,37.93333333333333,15
2012-05-01,44.93333333333333,15
2012-06-01,30.333333333333332,15
2012-07-01,32.06666666666667,15
2012-08-01,34.666666666666664,15
2012-09-01,36.733333333333334,15
2012-10-01,41,15
2012-11-01,38.06666666666667,15
2012-12-01,32.06666666666667,15
2013-01-01,39.06666666666667,15
2013-02-01,37.266666666666666,15
