time,value,n
2006-01-01,60,2
2006-02-01,58.25,4
2006-03-01,37,5
2006-04-01,50.833333333333336,6
2006-05-01,31.142857142857142,7
2006-06-01,42.75,8
2006-07-01,29.22222222222222,9
2006-08-01,25.2,10
2006-09-01,23.181818181818183,11
2006-10-01,66.08333333333333,12
2006-11-01,21.46153846153846,13
2006-12-01,40.07142857142857,14
2007-01-01,58.46666666666667,15
2007-02-01,35.53333333333333,15
2007-03-01,27.266666666666666,15
2007-04-01,54.86666666666667,15
2007-05-01,29.933333333333334,15
2007-06-01,27.4,15
2007-07-01,35.2,15
2007-08-01,43.733333333333334,15
2007-09-01,40.46666666666667,15
2007-10-01,41.733333333333334,15
2007-11-01,31.733333333333334,15
2007-12-01,14.666666666666666,15
2008-01-01,30.533333333333335,15
2008-02-01,44.666666666666664,15
2008-03-01,26.4,15
2008-04-01,38.6,15
2008-05-01,25.266666666666666,15
2008-06-01,14.6,15
2008-07-01,42.666666666666664,15
2008-08-01,39.8,15
2008-09-01,30.266666666666666,15
2008-10-01,12.8,15
2008-11-01,46.4,15
2008-12-01,58.6,15
2009-01-01,27.933333333333334,15
2009-02-01,80.33333333333333,15
2009-03-01,63.06666666666667,15
2009-04-01,41.13333333333333,15
2009-05-01,55.86666666666667,15
2009-06-01,45.53333333333333,15
2009-07-01,65.13333333333334,15
2009-08-01,36.733333333333334,15
2009-09-01,39.333333333333336,15
2009-10-01,38.13333333333333,15
2009-11-01,49.333333333333336,15
2009-12-01,24.133333333333333,15
2010-01-01,33.53333333333334,15
2010-02-01,52.06666666666667,15
2010-03-01,29.333333333333332,15
2010-04-01,37.266666666666666,15
2010-05-01,26.333333333333332,15
2010-06-01,44.06666666666667,15
2010-07-01,52.266666666666666,15
2010-08-01,53.46666666666667,15
2010-09-01,42.4,15
2010-10-01,43.13333333333333,15
2010-11-01,59.733333333333334,15
2010-12-01,29.066666666666666,15
2011-01-01,46.8,15
2011-02-01,38.333333333333336,15
2011-03-01,35.666666666666664,15
2011-04-01,39.666666666666664,15
2011-05-01,42.2,15
2011-06-01,29.4,15
2011-07-01,59.333333333333336,15
2011-08-01,27.266666666666666,15
2011-09-01,20.2,15
2011-10-01,35.266666666666666,15
2011-11-01,43.86666666666667,15
2011-12-01,20.8,15
2012-01-01,47.266666666666666,15
2012-02-01,32.26666666666667,15
2012-03-01,39.666666666666664,15
2012-04-01,42.8,15
2012-05-01,33.13333333333333,15
2012-06-01,41.266666666666666,15
2012-07-01,28.666666666666668,15
2012-08-01,44.46666666666667,15
2012-09-01,38.6,15
2012-10-01,48.8,15
2012-11-01,45.4,15
