time,value,n
2006-01-01,16,1
2006-02-01,23,2
2006-03-01,20,3
2006-04-01,38,4
2006-05-01,22.8,5
2006-06-01,24.166666666666668,6
2006-07-01,37.285714285714285,7
2006-08-01,31.125,8
2006-09-01,29.11111111111111,9
2006-10-01,41.3,10
2006-11-01,31.727272727272727,11
2006-12-01,24.583333333333332,12
2007-01-01,25.916666666666668,12
2007-02-01,28.583333333333332,12
2007-03-01,25.25,12
2007-04-01,22.416666666666668,12
2007-05-01,18.833333333333332,12
2007-06-01,25.416666666666668,12
2007-07-01,32.166666666666664,12
2007-08-01,18.916666666666668,12
2007-09-01,23.583333333333332,12
2007-10-01,18.25,12
2007-11-01,20.5,12
2007-12-01,23.583333333333332,12
2008-01-01,24.333333333333332,12
2008-02-01,29,12
2008-03-01,34.666666666666664,12
2008-04-01,33.5,12
2008-05-01,19.583333333333332,12
2008-06-01,19,12
2008-07-01,30.333333333333332,12
2008-08-01,29.833333333333332,12
2008-09-01,16.833333333333332,12
2008-10-01,26.666666666666668,12
2008-11-01,30.833333333333332,12
2008-12-01,24.916666666666668,12
2009-01-01,33.916666666666664,12
2009-02-01,38.583333333333336,12
2009-03-01,53.583333333333336,12
2009-04-01,49,12
2009-05-01,46.75,12
2009-06-01,56.75,12
2009-07-01,58,12
2009-08-01,53.25,12
2009-09-01,56.75,12
2009-10-01,59.666666666666664,12
2009-11-01,71.66666666666667,12
2009-12-01,43.083333333333336,12
2010-01-01,47.166666666666664,12
2010-02-01,55.5,12
2010-03-01,50.25,12
2010-04-01,46.5,12
2010-05-01,34.166666666666664,12
2010-06-01,32,12
2010-07-01,32.583333333333336,12
2010-08-01,32.5,12
2010-09-01,36.083333333333336,12
2010-10-01,39.833333333333336,12
2010-11-01,34.166666666666664,12
2010-12-01,28.833333333333332,12
2011-01-01,51.25,12
2011-02-01,38.833333333333336,12
2011-03-01,36.5,12
2011-04-01,42.416666666666664,12
2011-05-01,35.25,12
2011-06-01,31.25,12
2011-07-01,36,12
2011-08-01,38.416666666666664,12
2011-09-01,35.25,12
2011-10-01,42.416666666666664,12
2011-11-01,50,12
2011-12-01,40.833333333333336,12
2012-01-01,59,12
2012-02-01,47.416666666666664,12
2012-03-01,48.666666666666664,12
2012-04-01,43.916666666666664,12
2012-05-01,49.5,12
2012-06-01,48,12
2012-07-01,48.333333333333336,12
2012-08-01,51.75,12
2012-09-01,43.083333333333336,12
2012-10-01,57,12
2012-11-01,55,12
2012-12-01,39.083333333333336,12
2013-01-01,57.583333333333336,12
2013-02-01,53.5,12
2013-03-01,49.666666666666664,12
2013-04-01,50.916666666666664,12
2013-05-01,46.166666666666664,12
2013-06-01,47.083333333333336,12
2013-07-01,50.5,12
2013-08-01,47.25,12
2013-09-01,52.5,12
2013-10-01,56.166666666666664,12
2013-11-01,47.083333333333336,12
2013-12-01,50.083333333333336,12
2014-01-01,60.083333333333336,12
2014-02-01,59.5,12
2014-03-01,52.083333333333336,12
2014-04-01,47.333333333333336,12
2014-05-01,53.666666666666664,12
2014-06-01,37.25,12
2014-07-01,52.5,12
2014-08-01,47.083333333333336,12
2014-09-01,59.25,12
2014-10-01,44.25,12
2014-11-01,54.666666666666664,12
2014-12-01,47.25,12
2015-01-01,57,12
2015-02-01,52.583333333333336,12
2015-03-01,56.75,12
2015-04-01,59.25,12
2015-05-01,51.666666666666664,12
2015-06-01,58.75,12
2015-07-01,53.666666666666664,12
2015-08-01,43.333333333333336,12
2015-09-01,58.833333333333336,12
2015-10-01,64.33333333333333,12
2015-11-01,54.333333333333336,12
2015-12-01,55.5,12
2016-01-01,58.416666666666664,12
2016-02-01,58.75,12
2016-03-01,47.166666666666664,12
2016-04-01,54,12
2016-05-01,53.416666666666664,12
2016-06-01,51,12
2016-07-01,38.666666666666664,12
2016-08-01,59.583333333333336,12
2016-09-01,56.416666666666664,12
2016-10-01,50.75,12
2016-11-01,46.916666666666664,12
2016-12-01,41.75,12
2017-01-01,56.333333333333336,12
2017-02-01,54.916666666666664,12
2017-03-01,50.916666666666664,12
2017-04-01,46.166666666666664,12
2017-05-01,47.75,12
2017-06-01,48.416666666666664,12
2017-07-01,44.833333333333336,12
2017-08-01,43.583333333333336,12
2017-09-01,53.416666666666664,12
2017-10-01,52.583333333333336,12
2017-11-01,51.416666666666664,12
2017-12-01,35.75,12
2018-01-01,52,12
2018-02-01,58.583333333333336,12
2018-03-01,44.583333333333336,12
2018-04-01,43.25,12
2018-05-01,37.583333333333336,12
2018-06-01,47.166666666666664,12
2018-07-01,45.5,12
2018-08-01,50,12
2018-09-01,47.416666666666664,12
2018-10-01,46.083333333333336,12
2018-11-01,50,12
2018-12-01,36.666666666666664,12
2019-01-01,50.916666666666664,12
2019-02-01,46.666666666666664,12
2019-03-01,51.833333333333336,12
2019-04-01,48.166666666666664,12
2019-05-01,43.583333333333336,12
2019-06-01,39.166666666666664,12
2019-07-01,44.166666666666664,12
2019-08-01,42.666666666666664,12
2019-09-01,45.583333333333336,12
2019-10-01,48,12
2019-11-01,42.916666666666664,12
2019-12-01,38.083333333333336,12
2020-01-01,50.25,12
2020-02-01,53.166666666666664,12
2020-03-01,99.41666666666667,12
2020-04-01,74.83333333333333,12
2020-05-01,56.5,12
2020-06-01,50.25,12
