time,value,n
2006-01-01,46,1
2006-02-01,26,2
2006-03-01,20,3
2006-04-01,30,4
2006-05-01,21.2,5
2006-06-01,29,6
2006-07-01,29.714285714285715,7
2006-08-01,24.375,8
2006-09-01,29.77777777777778,9
2006-10-01,33.5,10
2006-11-01,26.272727272727273,11
2006-12-01,24.583333333333332,12
2007-01-01,29.166666666666668,12
2007-02-01,28.166666666666668,12
2007-03-01,25.25,12
2007-04-01,24.833333333333332,12
2007-05-01,17.166666666666668,12
2007-06-01,27.583333333333332,12
2007-07-01,28.416666666666668,12
2007-08-01,20.916666666666668,12
2007-09-01,24.166666666666668,12
2007-10-01,20.916666666666668,12
2007-11-01,24.416666666666668,12
2007-12-01,23.166666666666668,12
2008-01-01,27.5,12
2008-02-01,27.083333333333332,12
2008-03-01,40.916666666666664,12
2008-04-01,33.416666666666664,12
2008-05-01,20.166666666666668,12
2008-06-01,16.666666666666668,12
2008-07-01,27.916666666666668,12
2008-08-01,30,12
2008-09-01,17.666666666666668,12
2008-10-01,26.833333333333332,12
2008-11-01,33.833333333333336,12
2008-12-01,33.666666666666664,12
2009-01-01,36.333333333333336,12
2009-02-01,36.916666666666664,12
2009-03-01,51.916666666666664,12
2009-04-01,57.416666666666664,12
2009-05-01,47.083333333333336,12
2009-06-01,57,12
2009-07-01,57.666666666666664,12
2009-08-01,53.5,12
2009-09-01,53.166666666666664,12
2009-10-01,62.666666666666664,12
2009-11-01,77.91666666666667,12
2009-12-01,43.166666666666664,12
2010-01-01,49.166666666666664,12
2010-02-01,62.166666666666664,12
2010-03-01,54,12
2010-04-01,49.25,12
2010-05-01,38.666666666666664,12
2010-06-01,29.083333333333332,12
2010-07-01,37,12
2010-08-01,37.416666666666664,12
2010-09-01,39.083333333333336,12
2010-10-01,45.333333333333336,12
2010-11-01,31.583333333333332,12
2010-12-01,29.833333333333332,12
2011-01-01,52.666666666666664,12
2011-02-01,33.833333333333336,12
2011-03-01,35.083333333333336,12
2011-04-01,43.5,12
2011-05-01,35.833333333333336,12
2011-06-01,36.666666666666664,12
2011-07-01,35.666666666666664,12
2011-08-01,41.5,12
2011-09-01,38.916666666666664,12
2011-10-01,41.916666666666664,12
2011-11-01,52.916666666666664,12
2011-12-01,44.583333333333336,12
2012-01-01,59.5,12
2012-02-01,43.25,12
2012-03-01,48.25,12
2012-04-01,50.5,12
2012-05-01,50.75,12
2012-06-01,43,12
2012-07-01,53.333333333333336,12
2012-08-01,53.166666666666664,12
2012-09-01,44.833333333333336,12
2012-10-01,53.75,12
2012-11-01,58.333333333333336,12
2012-12-01,41.25,12
2013-01-01,60.916666666666664,12
2013-02-01,54.166666666666664,12
2013-03-01,53,12
2013-04-01,50.916666666666664,12
2013-05-01,46.333333333333336,12
2013-06-01,48.25,12
2013-07-01,50.666666666666664,12
2013-08-01,52.75,12
2013-09-01,53.5,12
2013-10-01,54.583333333333336,12
2013-11-01,48.583333333333336,12
2013-12-01,49.5,12
2014-01-01,60.916666666666664,12
2014-02-01,59.166666666666664,12
2014-03-01,52.416666666666664,12
2014-04-01,48.666666666666664,12
2014-05-01,56.75,12
2014-06-01,42.25,12
2014-07-01,54.75,12
2014-08-01,53.916666666666664,12
2014-09-01,62.916666666666664,12
2014-10-01,43.333333333333336,12
2014-11-01,60.583333333333336,12
2014-12-01,48.166666666666664,12
2015-01-01,60.916666666666664,12
2015-02-01,55.583333333333336,12
2015-03-01,61.416666666666664,12
2015-04-01,57.25,12
2015-05-01,55.416666666666664,12
2015-06-01,58.916666666666664,12
2015-07-01,54.75,12
2015-08-01,41.583333333333336,12
2015-09-01,59.25,12
2015-10-01,58.333333333333336,12
2015-11-01,56.666666666666664,12
2015-12-01,58.75,12
2016-01-01,62.916666666666664,12
2016-02-01,58.333333333333336,12
2016-03-01,47.333333333333336,12
2016-04-01,52.25,12
2016-05-01,50.333333333333336,12
2016-06-01,48.833333333333336,12
2016-07-01,38.333333333333336,12
2016-08-01,58.666666666666664,12
2016-09-01,57.583333333333336,12
2016-10-01,46.5,12
2016-11-01,49,12
2016-12-01,43.833333333333336,12
2017-01-01,59.833333333333336,12
2017-02-01,58.666666666666664,12
2017-03-01,51.166666666666664,12
2017-04-01,47,12
2017-05-01,53.666666666666664,12
2017-06-01,50.166666666666664,12
2017-07-01,45.75,12
2017-08-01,47.583333333333336,12
2017-09-01,51.25,12
2017-10-01,50.666666666666664,12
2017-11-01,54.416666666666664,12
2017-12-01,31.666666666666668,12
2018-01-01,54.583333333333336,12
2018-02-01,60.25,12
2018-03-01,46.25,12
2018-04-01,46.583333333333336,12
2018-05-01,39.833333333333336,12
2018-06-01,49.5,12
2018-07-01,44.416666666666664,12
2018-08-01,51.166666666666664,12
2018-09-01,50.333333333333336,12
2018-10-01,50.333333333333336,12
2018-11-01,49.75,12
2018-12-01,36.583333333333336,12
2019-01-01,53.75,12
2019-02-01,49.083333333333336,12
2019-03-01,55.916666666666664,12
2019-04-01,50.583333333333336,12
2019-05-01,43.416666666666664,12
2019-06-01,37.416666666666664,12
2019-07-01,45.916666666666664,12
2019-08-01,41.416666666666664,12
2019-09-01,43.416666666666664,12
2019-10-01,49.166666666666664,12
2019-11-01,46,12
2019-12-01,38.5,12
2020-01-01,53.416666666666664,12
2020-02-01,54.666666666666664,12
2020-03-01,99.91666666666667,12
2020-04-01,71,12
2020-05-01,58.166666666666664,12
2020-06-01,52.083333333333336,12
