time,value,n
2006-01-01,37,1
2006-02-01,52.5,2
2006-03-01,48,3
2006-04-01,38.75,4
2006-05-01,37.8,5
2006-06-01,36.666666666666664,6
2006-07-01,39.857142857142854,7
2006-08-01,53.125,8
2006-09-01,44.44444444444444,9
2006-10-01,42.9,10
2006-11-01,41.54545454545455,11
2006-12-01,31.583333333333332,12
2007-01-01,28,12
2007-02-01,30,12
2007-03-01,26.833333333333332,12
2007-04-01,26.75,12
2007-05-01,23.166666666666668,12
2007-06-01,21.5,12
2007-07-01,20.666666666666668,12
2007-08-01,21.416666666666668,12
2007-09-01,33.416666666666664,12
2007-10-01,28.916666666666668,12
2007-11-01,24.083333333333332,12
2007-12-01,46.416666666666664,12
2008-01-01,24.166666666666668,12
2008-02-01,32.083333333333336,12
2008-03-01,18.333333333333332,12
2008-04-01,20.416666666666668,12
2008-05-01,32.333333333333336,12
2008-06-01,24.416666666666668,12
2008-07-01,25.25,12
2008-08-01,26.916666666666668,12
2008-09-01,27.916666666666668,12
2008-10-01,30.333333333333332,12
2008-11-01,28.333333333333332,12
2008-12-01,34.166666666666664,12
2009-01-01,41.916666666666664,12
2009-02-01,42.75,12
2009-03-01,36.833333333333336,12
2009-04-01,44.75,12
2009-05-01,41.666666666666664,12
2009-06-01,51.333333333333336,12
2009-07-01,50.5,12
2009-08-01,36.25,12
2009-09-01,44.166666666666664,12
2009-10-01,32.166666666666664,12
2009-11-01,47.75,12
2009-12-01,49.75,12
2010-01-01,47.5,12
2010-02-01,42.083333333333336,12
2010-03-01,49.333333333333336,12
2010-04-01,45.083333333333336,12
2010-05-01,45.25,12
2010-06-01,37.583333333333336,12
2010-07-01,44.916666666666664,12
2010-08-01,62.25,12
2010-09-01,100,12
2010-10-01,53.833333333333336,12
2010-11-01,52.083333333333336,12
2010-12-01,40.666666666666664,12
2011-01-01,46.5,12
2011-02-01,32.583333333333336,12
2011-03-01,38.333333333333336,12
2011-04-01,33.083333333333336,12
2011-05-01,34.25,12
2011-06-01,20.75,12
2011-07-01,25.416666666666668,12
2011-08-01,29.416666666666668,12
2011-09-01,31.916666666666668,12
2011-10-01,28.333333333333332,12
2011-11-01,28.75,12
2011-12-01,17.166666666666668,12
2012-01-01,29.916666666666668,12
2012-02-01,25.916666666666668,12
2012-03-01,20.583333333333332,12
2012-04-01,24.166666666666668,12
2012-05-01,22.916666666666668,12
2012-06-01,19.916666666666668,12
2012-07-01,21.083333333333332,12
2012-08-01,23,12
2012-09-01,27.166666666666668,12
2012-10-01,21.333333333333332,12
2012-11-01,28,12
2012-12-01,23.916666666666668,12
2013-01-01,26.666666666666668,12
2013-02-01,29.166666666666668,12
2013-03-01,20.666666666666668,12
2013-04-01,22.083333333333332,12
2013-05-01,22.583333333333332,12
2013-06-01,24.583333333333332,12
2013-07-01,21.333333333333332,12
2013-08-01,15.916666666666666,12
2013-09-01,22.666666666666668,12
2013-10-01,18.333333333333332,12
2013-11-01,21.583333333333332,12
2013-12-01,19,12
2014-01-01,22.75,12
2014-02-01,27.166666666666668,12
2014-03-01,22,12
2014-04-01,16.416666666666668,12
2014-05-01,25.666666666666668,12
2014-06-01,25.083333333333332,12
2014-07-01,16.416666666666668,12
2014-08-01,19.583333333333332,12
2014-09-01,24.833333333333332,12
2014-10-01,15.083333333333334,12
2014-11-01,23.916666666666668,12
2014-12-01,22.583333333333332,12
2015-01-01,21.333333333333332,12
2015-02-01,21.75,12
2015-03-01,26.083333333333332,12
2015-04-01,16.083333333333332,12
2015-05-01,20.75,12
2015-06-01,20.5,12
2015-07-01,18.25,12
2015-08-01,18.583333333333332,12
2015-09-01,22.75,12
2015-10-01,23.916666666666668,12
2015-11-01,23.75,12
2015-12-01,22.833333333333332,12
2016-01-01,21,12
2016-02-01,19.416666666666668,12
2016-03-01,18.333333333333332,12
2016-04-01,20.833333333333332,12
2016-05-01,15.5,12
2016-06-01,13,12
2016-07-01,14.166666666666666,12
2016-08-01,16.166666666666668,12
2016-09-01,16.166666666666668,12
2016-10-01,16.75,12
2016-11-01,16.333333333333332,12
2016-12-01,15.416666666666666,12
2017-01-01,21.166666666666668,12
2017-02-01,20.166666666666668,12
2017-03-01,14.583333333333334,12
2017-04-01,11.75,12
2017-05-01,16.583333333333332,12
2017-06-01,16.333333333333332,12
2017-07-01,14.666666666666666,12
2017-08-01,13.25,12
2017-09-01,13.333333333333334,12
2017-10-01,17.333333333333332,12
2017-11-01,15.666666666666666,12
2017-12-01,13.5,12
2018-01-01,19.833333333333332,12
2018-02-01,16,12
2018-03-01,13.666666666666666,12
2018-04-01,16.916666666666668,12
2018-05-01,16.083333333333332,12
2018-06-01,15,12
2018-07-01,15.083333333333334,12
2018-08-01,11.333333333333334,12
2018-09-01,16.75,12
2018-10-01,16.083333333333332,12
2018-11-01,12.666666666666666,12
2018-12-01,12.166666666666666,12
2019-01-01,17,12
2019-02-01,14.916666666666666,12
2019-03-01,13.666666666666666,12
2019-04-01,13.75,12
2019-05-01,16,12
2019-06-01,16,12
2019-07-01,14,12
2019-08-01,16.083333333333332,12
2019-09-01,15.083333333333334,12
2019-10-01,13.416666666666666,12
2019-11-01,14.416666666666666,12
2019-12-01,16,12
2020-01-01,15.75,12
2020-02-01,16.75,12
2020-03-01,60.166666666666664,12
2020-04-01,39.083333333333336,12
2020-05-01,30.916666666666668,12
2020-06-01,26.916666666666668,12
