time,value,n
2006-01-01,63.5,2
2006-01-02,60,1
2006-01-03,62,1
2006-01-04,0,1
2006-01-05,48,1
2006-01-06,35,1
2006-01-07,0,1
2006-01-08,44,1
2006-01-09,57,1
2006-01-10,0,1
2006-01-11,29,1
2006-01-12,29,1
2006-01-13,64,1
2006-01-14,0,1
2006-01-15,0,1
2006-01-16,46,2
2006-01-17,21,2
2006-01-18,27,2
2006-01-19,28,2
2006-01-20,14,2
2006-01-21,0,2
2006-01-22,40,2
2006-01-23,0,2
2006-01-24,14,2
2006-01-25,40.5,2
2006-01-26,14.5,2
2006-01-27,45,2
2006-01-28,46,2
2006-01-29,41.5,2
2006-01-30,27,2
2006-01-31,37.666666666666664,3
2006-02-01,33.2,5
2006-02-02,29,3
2006-02-03,41,3
2006-02-04,54.666666666666664,3
2006-02-05,41,3
2006-02-06,43.333333333333336,3
2006-02-07,27,3
2006-02-08,27,3
2006-02-09,32.333333333333336,3
2006-02-10,0,3
2006-02-11,16,3
2006-02-12,52,3
2006-02-13,30.333333333333332,3
2006-02-14,27,3
2006-02-15,46.75,4
2006-02-16,55.5,4
2006-02-17,31.75,4
2006-02-18,35.75,4
2006-02-19,52,4
2006-02-20,27,4
2006-02-21,46.5,4
2006-02-22,37.25,4
2006-02-23,45.5,4
2006-02-24,35.75,4
2006-02-25,53,4
2006-02-26,32,4
2006-02-27,32.25,4
2006-02-28,18.75,4
2006-03-01,56.5,6
2006-03-02,38.4,5
2006-03-03,18.8,5
2006-03-04,18,5
2006-03-05,41.6,5
2006-03-06,27.8,5
2006-03-07,19.8,5
2006-03-08,53.8,5
2006-03-09,34.8,5
2006-03-10,12.2,5
2006-03-11,0,5
2006-03-12,54.6,5
2006-03-13,40.8,5
2006-03-14,29.2,5
2006-03-15,33.8,5
2006-03-16,26.4,5
2006-03-17,19.5,6
2006-03-18,42.666666666666664,6
2006-03-19,40.5,6
2006-03-20,4.333333333333333,6
2006-03-21,29.833333333333332,6
2006-03-22,29,6
2006-03-23,16.166666666666668,6
2006-03-24,14.666666666666666,6
2006-03-25,36.5,6
2006-03-26,23.833333333333332,6
2006-03-27,34,6
2006-03-28,46.5,6
2006-03-29,29.666666666666668,6
2006-03-30,8.833333333333334,6
2006-03-31,35.666666666666664,6
2006-04-01,17,9
2006-04-02,4.714285714285714,7
2006-04-03,48,7
2006-04-04,25,7
2006-04-05,29,7
2006-04-06,33.285714285714285,7
2006-04-07,8.142857142857142,7
2006-04-08,38.142857142857146,7
2006-04-09,0,7
2006-04-10,36.714285714285715,7
2006-04-11,38,7
2006-04-12,34.57142857142857,7
2006-04-13,27.571428571428573,7
2006-04-14,34.142857142857146,7
2006-04-15,5.857142857142857,7
2006-04-16,36.25,8
2006-04-17,59.75,8
2006-04-18,34.25,8
2006-04-19,37,8
2006-04-20,38.375,8
2006-04-21,30.125,8
2006-04-22,28,8
2006-04-23,0,8
2006-04-24,45,8
2006-04-25,28.75,8
2006-04-26,31.25,8
2006-04-27,34.375,8
2006-04-28,44.625,8
2006-04-29,39.875,8
2006-04-30,3.5,8
2006-05-01,46.81818181818182,11
2006-05-02,22.77777777777778,9
2006-05-03,41.55555555555556,9
2006-05-04,6.111111111111111,9
2006-05-05,31.333333333333332,9
2006-05-06,30,9
2006-05-07,19.444444444444443,9
2006-05-08,22.555555555555557,9
2006-05-09,24.77777777777778,9
2006-05-10,22.444444444444443,9
2006-05-11,11,9
2006-05-12,39.333333333333336,9
2006-05-13,31.11111111111111,9
2006-05-14,21.77777777777778,9
2006-05-15,23.88888888888889,9
2006-05-16,22.1,10
2006-05-17,19.6,10
2006-05-18,29.9,10
2006-05-19,13.7,10
2006-05-20,41,10
2006-05-21,12.8,10
2006-05-22,15.2,10
2006-05-23,17.9,10
2006-05-24,23.4,10
2006-05-25,15.1,10
2006-05-26,0,10
2006-05-27,0,10
2006-05-28,23.6,10
2006-05-29,17.2,10
2006-05-30,23.7,10
2006-05-31,45.18181818181818,11
2006-06-01,30.076923076923077,13
2006-06-02,33.36363636363637,11
2006-06-03,26.545454545454547,11
2006-06-04,18.454545454545453,11
2006-06-05,17,11
2006-06-06,37.63636363636363,11
2006-06-07,32.90909090909091,11
2006-06-08,19.727272727272727,11
2006-06-09,28.272727272727273,11
2006-06-10,32,11
2006-06-11,0,11
2006-06-12,32.81818181818182,11
2006-06-13,22.181818181818183,11
2006-06-14,26.181818181818183,11
2006-06-15,5.916666666666667,12
2006-06-16,12,12
2006-06-17,0,12
2006-06-18,18.416666666666668,12
2006-06-19,35.25,12
2006-06-20,27.833333333333332,12
2006-06-21,42.333333333333336,12
2006-06-22,53.75,12
2006-06-23,30.583333333333332,12
2006-06-24,27.75,12
2006-06-25,29,12
2006-06-26,20.416666666666668,12
2006-06-27,26.75,12
2006-06-28,24.666666666666668,12
2006-06-29,21.916666666666668,12
2006-06-30,28.384615384615383,13
2006-07-01,14.133333333333333,15
2006-07-02,43.5,12
2006-07-03,29.75,12
2006-07-04,43.666666666666664,12
2006-07-05,11.583333333333334,12
2006-07-06,27.75,12
2006-07-07,9,12
2006-07-08,42.666666666666664,12
2006-07-09,41.25,12
2006-07-10,42.083333333333336,12
2006-07-11,25.25,12
2006-07-12,32.5,12
2006-07-13,31.666666666666668,12
2006-07-14,25.583333333333332,12
2006-07-15,22.307692307692307,13
2006-07-16,48.53846153846154,13
2006-07-17,39.583333333333336,12
2006-07-18,16.333333333333332,12
