time,value,n
2006-01-01,0.5333333333333333,15
2006-02-01,0.20000000000000004,30
2006-03-01,0.4411764705882353,34
2006-04-01,0.13157894736842105,38
2006-05-01,0.3333333333333333,42
2006-06-01,0.3260869565217391,46
2006-07-01,0.18,50
2006-08-01,0.16666666666666666,54
2006-09-01,0.034482758620689655,58
2006-10-01,0.032258064516129024,62
2006-11-01,0,66
2006-12-01,0.05714285714285713,70
2007-01-01,0,72
2007-02-01,0.10810810810810809,74
2007-03-01,0.10526315789473684,76
2007-04-01,0,78
2007-05-01,0.024999999999999994,80
2007-06-01,0.04999999999999999,80
2007-07-01,0,80
2007-08-01,0.04999999999999999,80
2007-09-01,0,80
2007-10-01,0.024999999999999994,80
2007-11-01,0.03749999999999999,80
2007-12-01,0.0875,80
2008-01-01,0.1125,80
2008-02-01,0.03749999999999999,80
2008-03-01,0.0875,80
2008-04-01,0.024999999999999994,80
2008-05-01,0.024999999999999994,80
2008-06-01,0.0625,80
2008-07-01,0.03749999999999999,80
2008-08-01,0.0875,80
2008-09-01,0.09999999999999998,80
2008-10-01,0.875,80
2008-11-01,1.9625,80
2008-12-01,3.35,80
2009-01-01,4.7625,80
2009-02-01,6.4875,80
2009-03-01,7.3375,80
2009-04-01,5.1625,80
2009-05-01,4.35,80
2009-06-01,4,80
2009-07-01,2.7,80
2009-08-01,2.8875,80
2009-09-01,2.175,80
2009-10-01,1.7375,80
2009-11-01,2.025,80
2009-12-01,0.975,80
2010-01-01,1.1,80
2010-02-01,1.0875000000000001,80
2010-03-01,1.0749999999999997,80
2010-04-01,0.925,80
2010-05-01,0.8875,80
2010-06-01,0.8125,80
2010-07-01,0.3375,80
2010-08-01,0.575,80
2010-09-01,0.925,80
2010-10-01,0.625,80
2010-11-01,0.0875,80
2010-12-01,0.07500000000000001,80
2011-01-01,0.19999999999999996,80
2011-02-01,0.07500000000000001,80
2011-03-01,0,80
2011-04-01,0.024999999999999994,80
2011-05-01,0,80
2011-06-01,0.012499999999999997,80
2011-07-01,0.07500000000000001,80
2011-08-01,0.6625,80
2011-09-01,0.7875,80
2011-10-01,0.8375,80
2011-11-01,0.825,80
2011-12-01,0.1875,80
2012-01-01,0.26249999999999996,80
2012-02-01,0.7,80
2012-03-01,0.475,80
2012-04-01,0.0625,80
2012-05-01,0.65,80
2012-06-01,0.07500000000000001,80
2012-07-01,0.024999999999999994,80
2012-08-01,0.1125,80
2012-09-01,0.07500000000000001,80
2012-10-01,0.1125,80
2012-11-01,0.1125,80
2012-12-01,0.1125,80
2013-01-01,0.024999999999999994,80
2013-02-01,0.225,80
2013-03-01,0.16249999999999998,80
2013-04-01,0.16249999999999998,80
2013-05-01,0.03749999999999999,80
2013-06-01,0.07500000000000001,80
2013-07-01,0.1125,80
2013-08-01,0.03749999999999999,80
2013-09-01,0.03749999999999999,80
2013-10-01,0,80
2013-11-01,0.0875,80
2013-12-01,0,80
2014-01-01,0.0875,80
2014-02-01,0.1125,80
2014-03-01,0,80
2014-04-01,0,80
2014-05-01,0.012499999999999997,80
2014-06-01,0,80
2014-07-01,0,80
2014-08-01,0.012499999999999997,80
2014-09-01,0.07500000000000001,80
2014-10-01,0.03749999999999999,80
2014-11-01,0.09999999999999998,80
2014-12-01,0.012499999999999997,80
2015-01-01,1.0125,80
2015-02-01,0.9625,80
2015-03-01,0.975,80
2015-04-01,0.925,80
2015-05-01,0.775,80
2015-06-01,0.75,80
2015-07-01,0.0875,80
2015-08-01,0.5125,80
2015-09-01,0.1125,80
2015-10-01,0.4875,80
2015-11-01,0.7625,80
2015-12-01,0.0625,80
2016-01-01,0.7125,80
2016-02-01,0.875,80
2016-03-01,0.03749999999999999,80
2016-04-01,0.07500000000000001,80
2016-05-01,0.04999999999999999,80
2016-06-01,0,80
2016-07-01,0,80
2016-08-01,0.012499999999999997,80
2016-09-01,0,80
2016-10-01,0,80
2016-11-01,0.03749999999999999,80
2016-12-01,0.024999999999999994,80
2017-01-01,0.024999999999999994,80
2017-02-01,0.024999999999999994,80
2017-03-01,0.04999999999999999,80
2017-04-01,0,80
2017-05-01,0,80
2017-06-01,0,80
2017-07-01,0,80
2017-08-01,0,80
2017-09-01,0,80
2017-10-01,0,80
2017-11-01,0,80
2017-12-01,0,80
2018-01-01,0,80
2018-02-01,0.024999999999999994,80
2018-03-01,0,80
2018-04-01,0,80
2018-05-01,0,80
2018-06-01,0,80
2018-07-01,0,80
2018-08-01,0,80
2018-09-01,0,80
2018-10-01,0.03749999999999999,80
2018-11-01,0,80
2018-12-01,0,80
2019-01-01,0.012499999999999997,80
2019-02-01,0,80
2019-03-01,0.024999999999999994,80
2019-04-01,0,80
2019-05-01,0,80
2019-06-01,0,80
2019-07-01,0,80
2019-08-01,0.09999999999999998,80
2019-09-01,0.16249999999999998,80
2019-10-01,0.024999999999999994,80
2019-11-01,0.175,80
2019-12-01,0,80
2020-01-01,0.0875,80
2020-02-01,0.9875,80
2020-03-01,100,80
2020-04-01,45.0875,80
2020-05-01,20.35,80
2020-06-01,13.0125,80
2020-07-01,9.147058823529415,68
2020-08-01,9.044117647058824,68
2020-09-01,5.0588235294117645,68
2020-10-01,6.893939393939394,66
2020-11-01,7.984375000000001,64
2020-12-01,8.096774193548388,62
2021-01-01,12.709677419354838,62
2021-02-01,9.600000000000001,60
2021-03-01,6.739130434782608,46
2021-04-01,5.136363636363637,44
2021-05-01,4,42
2021-06-01,3,40
2021-07-01,2.0526315789473686,38
2021-08-01,2,36
2021-09-01,2,34
2021-10-01,1.9375,32
2021-11-01,1.9333333333333333,30
2021-12-01,2.9285714285714284,28
2022-01-01,2.153846153846154,26
2022-02-01,1,20
2022-03-01,1,18
2022-04-01,1,16
2022-05-01,1,14
2022-06-01,1,12
2022-07-01,1,12
2022-08-01,1,12
2022-09-01,1,12
2022-10-01,1,12
2022-11-01,0,12
2022-12-01,0,12
2023-01-01,0,12
2023-02-01,0,12
2023-03-01,0,12
2023-04-01,0,12
2023-05-01,0,12
2023-06-01,1,12
2023-07-01,0,12
2023-08-01,0,12
2023-09-01,1,12
2023-10-01,1,12
2023-11-01,1,12
2023-12-01,0,12
2024-01-01,1,12
2024-02-01,1,12
2024-03-01,1,12
2024-04-01,1,12
2024-05-01,0,12
2024-06-01,1,12
2024-07-01,1,12
2024-08-01,0,12
2024-09-01,1,12
2024-10-01,1,12
2024-11-01,1,12
2024-12-01,0,12
2025-01-01,1,12
2025-02-01,1,12
2025-03-01,1,12
2025-04-01,1,12
2025-05-01,1,12
2025-06-01,1,12
2025-07-01,1,12
2025-08-01,1,12
2025-09-01,1,12
2025-10-01,1,12
2025-11-01,1,12
2025-12-01,0,12
2026-01-01,1,12
2026-02-01,0,11
