time,value,n
2006-01-01,31.666666666666668,3
2006-01-02,0,1
2006-01-03,0,1
2006-01-04,0,1
2006-01-05,0,1
2006-01-06,0,1
2006-01-07,0,1
2006-01-08,0,1
2006-01-09,47,1
2006-01-10,0,1
2006-01-11,49,1
2006-01-12,0,1
2006-01-13,0,1
2006-01-14,0,1
2006-01-15,0,1
2006-01-16,23,2
2006-01-17,24,2
2006-01-18,0,2
2006-01-19,0,2
2006-01-20,0,2
2006-01-21,0,2
2006-01-22,0,2
2006-01-23,0,2
2006-01-24,23.5,2
2006-01-25,0,2
2006-01-26,50,2
2006-01-27,0,2
2006-01-28,0,2
2006-01-29,0,2
2006-01-30,0,2
2006-01-31,0,3
2006-02-01,24.714285714285715,7
2006-02-02,0,3
2006-02-03,33.666666666666664,3
2006-02-04,0,3
2006-02-05,0,3
2006-02-06,15,3
2006-02-07,15.666666666666666,3
2006-02-08,0,3
2006-02-09,16,3
2006-02-10,0,3
2006-02-11,0,3
2006-02-12,0,3
2006-02-13,15.333333333333334,3
2006-02-14,0,3
2006-02-15,0,4
2006-02-16,0,4
2006-02-17,0,4
2006-02-18,0,4
2006-02-19,0,4
2006-02-20,33.75,4
2006-02-21,37.5,4
2006-02-22,12.5,4
2006-02-23,0,4
2006-02-24,13.5,4
2006-02-25,0,4
2006-02-26,0,4
2006-02-27,59.75,4
2006-02-28,73.5,4
2006-03-01,24.75,8
2006-03-02,18.6,5
2006-03-03,0,5
2006-03-04,0,5
2006-03-05,0,5
2006-03-06,8.8,5
2006-03-07,0,5
2006-03-08,0,5
2006-03-09,9.2,5
2006-03-10,0,5
2006-03-11,0,5
2006-03-12,0,5
2006-03-13,0,5
2006-03-14,28.2,5
2006-03-15,9.4,5
2006-03-16,0,5
2006-03-17,42.666666666666664,6
2006-03-18,12.333333333333334,6
2006-03-19,13.833333333333334,6
2006-03-20,23.166666666666668,6
2006-03-21,0,6
2006-03-22,7,6
2006-03-23,16.833333333333332,6
2006-03-24,0,6
2006-03-25,13,6
2006-03-26,39.333333333333336,6
2006-03-27,0,6
2006-03-28,37.666666666666664,6
2006-03-29,15.833333333333334,6
2006-03-30,0,6
2006-03-31,72,6
2006-04-01,17.545454545454547,11
2006-04-02,9.285714285714286,7
2006-04-03,14,7
2006-04-04,0,7
2006-04-05,0,7
2006-04-06,0,7
2006-04-07,8.857142857142858,7
2006-04-08,0,7
2006-04-09,10.714285714285714,7
2006-04-10,0,7
2006-04-11,12.142857142857142,7
2006-04-12,22.142857142857142,7
2006-04-13,0,7
2006-04-14,0,7
2006-04-15,0,7
2006-04-16,9.375,8
2006-04-17,0,8
2006-04-18,0,8
2006-04-19,0,8
2006-04-20,5.75,8
2006-04-21,0,8
2006-04-22,0,8
2006-04-23,0,8
2006-04-24,41.75,8
2006-04-25,35,8
2006-04-26,0,8
2006-04-27,0,8
2006-04-28,7.25,8
2006-04-29,28.75,8
2006-04-30,65.25,8
2006-05-01,29.46153846153846,13
2006-05-02,0,9
2006-05-03,0,9
2006-05-04,39.55555555555556,9
2006-05-05,0,9
2006-05-06,0,9
2006-05-07,58.666666666666664,9
2006-05-08,14.444444444444445,9
